author_name,rating,text
Yu ting,5,"第一次來～診所其實很乾淨，雖然不像現代診所摩登漂亮。
但我發誓～這是我看過最溫馨的婦科醫師，除了我的接生醫生外，陳醫師真的非常細心，內診很輕，不粗魯，真的像媽媽一樣教我怎麼照顧自己女性部位。
剛開始進來看到護士跟醫生都會覺得很嚴厲的老師感，但看醫生重點是醫生的耐心。
一般婦科我推薦👍"
ruby tsai,5,"不像台北多數華麗時尚的婦產科那樣，這裡像是溫馨社區診所的感覺。
每個醫師有自己的長處，若身體有嚴重問題建議多看幾間，不過若是普通的病症非常推薦這裡。"
hahha 7,5,第一次遇到那麼細心、溫柔的醫師，講解病灶、預防及衛教都非常清楚，怕一般人聽不懂還用畫的方式讓病人更好記，護士姐姐也很溫柔  不會像很多婦產科都很粗魯
Min Yu Chang,1,"原本就抱持著嘗試的心情去就診，因為評價都不是很好。結果還真的不是很好⋯
因為經期延遲的關係，身體一直不是很舒服，腹脹又水腫，就想去催經。
結果醫生用超音波看完以後只跟我說就再等等，會來的。
但我當然知道會來，因為我又沒懷孕！然後醫生也只是叫我不要急，之後健保卡跟收據還我就結束了。
付了200不知道是去看怎樣的，沒藥，症狀也沒解決，只是去聽你這樣講那我何必花這200元？浪費我的錢。"
宋力安建安,5,醫生跟護士都很親切！醫生講得很詳細 回答問題也都很有耐心 是個值得信賴的診所
郭毓璿,5,醫生親切❤️很認真
yueyue yam,3,我其實長久以來都在這裡檢查，我覺得醫生護士人都很好，但是機器設備真的需要更新，去年我去內科診所照超音波結果內科醫生發現我有子宮肌瘤，所以我趕緊去這裡檢查確認，但醫生說我沒有子宮肌瘤，結果現在我去醫院檢查，醫院發現我有子宮肌瘤而且還是三顆，我覺得可能是婦產科的設備有些老舊了，這件事情也因此讓我有點難接受。
Annadeath Chen,1,"去前已驗孕過沒有懷孕，想檢查為何下腹一直疼痛，月經還晚來半個月，結果醫生照超音波說有積液，叫我去驗孕一次，又確定沒有懷孕，卻也沒有開藥，也沒進一步治療積液，還消遣說不用擔心沒有懷孕啦（就講過沒有懷孕了，而且大家都成年了也適婚年齡，是在消遣幾點）。
而且不舒服看病就是要找出原因，你以為每個人看婦產科都只是為了要驗孕？！誇張死了！
最扯的是下腹繼續痛，痛了兩天後受不了，去別間婦產科（大安森林公園站有名的那家）看，檢查出是卵巢破裂內出血！！！ …"
N N,5,醫生及護理師非常親切！很細心衛教
Oppo For,1,"醫生態度非常差
看病不專業
答不出來的問題就對病人大聲 且情緒激動
不建議來這間診所就診"
Liu Jenny,1,孕婦初期遇到出血問題，已經身心上呈現緊繃狀態，醫生一聽到問題馬上說你流血就是流掉了，這很正常，大自然的淘汰不適合就會這樣；請問，婦產科醫生是這樣當的嗎？？？爛透了！！！再也不會來了！！！！連看診確認都不願意只想把我推出診所，真是有夠爛！一再強調我流掉了真的是沒口德！！！
張芸,5,"陳醫生像母親般的細心呵護及問診,可以一看半小時,仔細聽妳訴說各項症狀,再一一答覆,是我極力推薦有良心的好醫生。認識她是因之前在一間極有名望的婦產科醫院就診,醫生將病況形容的嚇死人,還說至少要看3次以上,花費上萬元,嚇的我趕忙求診陳醫師,結果在醫生詳細問診和檢查後,安慰我,要我放下心,連藥都不用開,要我好好放心,沒事,輕鬆面對.最後,證明是陳醫生對了,真的平安沒事.我才知,世間竟有那麼惡質,只為賺錢的醫生,那麼可怕的歛財,。今天無意看到網路上對陳醫生的惡評,一定要幫陳醫生平反一 …"
Sophie Chang,5,早上來看，不用排隊，女醫生親切又專業，耐心回答病人問題
