author_name,rating,text
Tien-shin Luo,5,"吃過最好吃的便當店
配菜很簡單感覺 不會有奇怪的菜
最喜歡吃總匯 海陸可以吃的超飽
蝦卷很好吃 吃到現炸的很讚😍
連續吃三天都不會膩🤤🤤🤤"
yi Jiun,5,"招牌肉好吃
青菜清爽量多
現場環境很明亮乾淨"
Wu Nes,5,"招牌飯的 肉鮮嫩好吃 蔬菜也新鮮
跟之前吃到別家池上便當的分店不一樣
且環境整理很乾淨舒適"
Ying Yi,5,晚上快要8點的時候過去，還有賣便當，但是附湯所剩無幾就沒盛了。雞腿現炸熱呼呼又有肉汁很好吃，配菜正常表現沒有太鹹太油，店內環境重新裝修過用餐起來舒適。
海倫,1,"1.現場無其他客人，但需等櫃台人員跟出菜人員聊完天後才可以點餐。
2.點餐到一半，櫃台人員會突然接起電話接外送單。
3.點餐時未事先告知有菜色需等待5-10分鐘。
4.已經出了在我點餐後才接的現場15個及數個外送便當,但我的餐點仍未出餐，詢問後才告知因菜色還需等待，但馬上轉頭跟出菜人員說""那份給他""，同時廚房未有人將剛煮好的菜色送出，無法理解為何現場已有但卻不出餐，告知客人需要繼續等待。
5.取餐後跟櫃台人員說，如有菜色需等待，希望可以於點餐時告知，但櫃台人員未做任何回應，僅看了一眼即轉身離開。"
林文培,5,只要傍晚路過附近，都會來外帶招牌與控肉便當，雖然不像正宗的配菜在多元一點，這家的菜量誠意還算不錯！
Claire Kao,1,"1.米飯沒香味，更沒口感。如果真使用池上米，大概就是煮法很有問題。
2.配菜食之無味，只是看起來漂亮
3.服務態度，我更不予置評
旁邊隨便的自助餐都贏他"
王炳川,4,不錯吃，例湯不錯。但青菜没變化，可惜。
Kuyu liou,5,價格實在，菜多且味美，地方寬敞，每週都會買，我家的第二廚房。
Justin Unknown,4,眾多口味便當有平均之上的水準，價錢也合理。
劉欣怡,5,"每次都會多點排骨冰起來
在用氣炸鍋加熱
或是讓小孩帶便當
很方便"
Ernest Wang 爾尼斯特王,4,"貌似新開的家庭經營便當店。價錢公道，菜色豐富。你不需要劃單，你只需要排隊告訴老闆娘想點甚麼。廚房後台已經預備好很多的飯盒，所以看起來應該出餐速度很快。然而，老闆娘還需要聯絡外送事宜，今天就遇到外送出包，結果老闆娘就沒好氣的用手機講了很久的電話，大家也只能乖乖排隊。
我點了招牌飯，我自己加了還蠻辣的菜脯。湯只能舀一碗，但這一碗底過別人家好幾碗。因為他們的湯不是清湯，我今天喝的是貢丸湯。"
刁國生,4,用餐環境不錯，乾淨，明亮有重新裝潢，推薦炸雞腿，好吃，雞肉有彈性，不柴有油脂，外酥，好吃，沒話講
Sharon Tina (熊大寶貝),5,"超級好吃
海陸便當真的值得買
份量非常多
價格非常合理"
Kuo Chris,2,服務方面某女店員態度很差，不知道是便秘還是當天心情很差，另外食物方面鮭魚便當太鹹太油。
mu mu,4,炸雞腿便當整體來說還不賴，炸雞腿非常非常大一隻，吃起來鮮嫩可口，不過炸皮偏油，然後配菜也是有點油膩，其中豆干有點太鹹了，飯沒吃不知道如何。但覺得這個便當份量滿驚人的。
