author_name,rating,text
陳英哲,5,原夫 妻 子 女都是藥濟師，中心藥局位在現三總汀州院區對面，擁有多科多種藥品，不用等1~3天協力藥廠補貨，要什麼多國多廠多用途成藥，醫師處方箋都可以馬上給您
SU SU,5,服務親切友善！
fionliu1212,5,從領口罩到現在詢問盒裝口罩，裡面的藥師和她兒子？！，都是親切有耐心，兒童口罩還在未拆封的情形下讓我比對，怕我買錯尺寸，只能說佛心服務（因為都不是應該的），真心感謝你們🙏
陳英哲,5,在三總汀州院區對面，藥品齊全，可依醫院等處方箋領藥，服務週到藥物事關體大，沒有線上取貨，對於藥品使用禁忌藥劑師會為您専業解說
ching wen,5,"可以買到林格爾、胰島素、注射針筒，對家有腎貓的朋友是一大幫助。
★要注意星期天公休，不要白跑一趟了。"
Ka smida,5,"聽說藥師已經70歲了
腦筋還是非常清楚
佩服"
Hui-Yu Lin,5,親切，方便。
casey lin,5,藥師人很好
王雅婷,5,老闆一家人很專業又熱心，超愛老闆娘，還有帥哥老闆啦。
Yung-Shan Chen,4,小小的店，但藥品醫材很齊全，很多地方找不到的輸液在這邊找到
Allen Lin (JingLun),5,"專業的藥師,親切的服務."
Ling Lin,5,服務親切有耐心
Edgar Rojas,5,"(由 Google 提供翻譯) 這位女士對我很好，在我解釋了症狀後，她馬上向我推薦了藥。價格也很好。

(原始評論)
The lady was very nice with me and after I explained my symptoms, she right away recommended me a medicine. A very good price too."
中特獎上帝小天使,5,"(由 Google 提供翻譯) 哈哈哈哈大笑三聲^一^我來過>這個是12年的事了，沒錯>就是像是你們說(老闆娘+帥哥老闆人很好)

(原始評論)
哈哈哈哈大笑三聲^一^我來過>這個是12年的事了，没錯>就是像是你們說(老闆娘+帥哥老闆人很好)"
Derek,5,"(由 Google 提供翻譯) 非常友善～

(原始評論)
非常友善～"
TY Chang,5,"(由 Google 提供翻譯) 漂亮的藥房，樂於助人的員工和充足的庫存。

(原始評論)
Nice pharmacy with helpful staff and sufficient of stock."
Rodger Tsai,5,
