author_name,rating,text
S IU,3,"評價：3.8顆星
墨西哥雞絲薄餅：餅皮軟而稍微黏口，若能有嚼勁點會更好。包雞絲、美生菜、少許小黃瓜，並加上番茄醬，番茄醬若能減量並降低鹹度味道會更好。"
小綿羊,4,綠豆糕，棗泥核桃糕，松子軟糖是過年一定要買的甜點，各種口味的月餅，也是中秋節的熱門選項，用料實在，令人懷念
Cindy Chen,3,"每次經過羅斯福路都會看到這家 一直無緣進入
今朋友送一盒 果然一吃就知以前綠色都騙人的 色素居多
這才是真材實料 好吃"
V H,2,"綠豆糕是很香啦，但有點太甜太油了，不是我喜歡的味道
然後茶完全不行， 喝起來居然有消毒水味，可怕到無法喝完"
Vivian Lo,2,"綠豆糕是好吃的。
但購買時櫃臺只是隨便給個塑膠袋黏一下而已，結帳完立刻就轉身進去店後面，感覺有些隨便，可惜是老店，下次應該不會去了。"
tingting su,4,綠豆糕 口味多 這次買花生口味  蠻香的 還不錯
C Mickey.,4,"逾幾十年老店
新口味嚐鮮心得如下：
#花生麵包
花生粒很多
花生醬偏少
麵包偏硬
建議花生醬多一點更美味！
#辮子肉鬆培根
口味偏重！
黃色芥末醬不錯
肉鬆份量也蠻多搭配蘑菇不錯吃！
很久以前吃過的
#伯爵蛋糕捲
可惜沒再出產
很好吃可惜了！
最近新口味50元新品
#綠茶奶酥密紅豆吐司
（回購數次）
整體口味不錯吃
有了綠茶加持
奶酥不過於太甜
不嗜甜者建議嚐嚐！"
楊鳥,1,元宵一定要買組合的，不能單買芝麻口味，就因為去年買了組合口味的，除了芝麻以外都不好吃，所以今年只要買芝麻的，在店裡跟店員小姐說只要芝麻口味的，竟然態度惡劣的把價目單啪的一甩.......不賣就不賣，不需要這種態度吧，不知道在跩什麼？
艾咪,3,如果喜歡傳統的老味道，千萬別錯過～
I Te Hsiao,5,從以前到現在，一直都是我心目中最好吃的綠豆糕！而現在，則是唯一👍👍👍
Tsai Kevin,5,好吃的桂花年糕與綠豆糕，便宜又精緻！
PO PO,5,綠豆糕很香很好吃，濃濃的綠豆香味
lingli shen,4,"感覺松子蓮蓉比奇華的蛋黃蓮蓉好吃，口感較滑潤，甜度感覺比較低~但是對蛋黃控的我來說，想許願蛋黃松子蓮蓉的口以嗎？😋😋😋幾乎架上口味都來一個了，除了鳳梨和另一個什麼。。。。
包裝有點純樸，因為袋子要加錢$$$$"
YUCHUN FAN,5,去看長輩都會買這間的綠豆糕，自己也喜歡生計的綠豆糕。
李大尾,3,如果三倍券還沒用完的，可考慮前往購買綠豆糕，買一盒200元綠豆糕，另贈送附帶100元綠豆糕一盒。
梁世賢,3,綠豆糕好吃，但店員缺乏熱忱
章昌浩,5,生計食品是一家，老台北人的名店，他們家的綠豆糕系列特別好吃，尤其是核桃糕點更是同業間效尤的高標商品？遵循老上海人的做工！喜歡甜品的愛好者(螞蟻、蒼蠅們)夢中情人呢🤣？值得涉足一趟……
Nanda Sdm,3,紅茶像白開水，喝不出來有紅茶味。綠豆糕很甜又油。吐司還不錯，乾酪芋頭吐司、芋頭捲好吃。
pearl lee,5,"綠豆糕口味正統、
用料新鮮純真，
小包裝符合現代人的需求，
也有好吃不貴的麵包類
和吐司。"
Shuwei Leander Liu,4,"202011
有很多種口味的綠豆糕，很香很好吃，稍微油了一點，但是口感很好。推薦棗泥跟原味綠豆糕。三倍券有折扣。"
KELLY YEN,2,朋友送的生計棗泥綠豆糕，味道很奇特，自己不會花錢買。
周文郁,4,老字號的麵包店，可以來選購伴手禮。
吳國智,4,核桃棗泥綠豆糕，老店才有的味道，大推。
傅壹馨館,5,"玫瑰鹽奶油吐司🍞是我的最愛❤️
當然綠豆糕是一定要的啊！"
陳園,4,每年中秋節必買棗泥月餅（皮薄餡多）甜而不膩，棒！。
Yung-Ling Chi,5,綠豆糕是夢寐以求的味道！棗泥佛手超級好吃！！😂😂
唐唐,5,只吃過他們的核桃棗泥綠豆糕，連不愛吃糕餅甜點的我，也會一口接一口...。真的是人間美味！店面簡潔清爽，令人耳目一新！
Gatsby Cheng,5,請問今年元宵哪時開始開賣 ? ?
Dawei You,5,産品多樣化，價格也非常實在。
洪文彬,5,三明治料多，扎實，美味，CP值超高，太晚去就被掃光了。很適合做為公司，團體活動餐盒，點心之用。自製的紅茶飲料價格也很親民。
卉卉,5,芋頭蛋糕很不錯，不會太甜，而且滿滿芋頭餡料
方皇繹,5,"綠豆糕,湯圓,桂花糕很好"
陳建萍,3,綠豆糕很好吃！紅豆丹麥吐司超讚，可惜最近已停做了。杏仁瓦片酥脆不膩，最佳茶點喔～拿破崙派不錯吃！
張翊慈,5,綠豆糕難忘的味道.就是忍不住一塊接一塊
sin,4,交通方便，據女友說超好持
夢夢,4,"購買了桂花年糕的紅豆&豆沙禮盒跟綠豆糕。豆沙年糕跟綠豆糕麻油味道頗重~ 覺得吃起來神奇~~~! 然後綠豆糕很順口一口氣吃了4個。年糕麻薯的口感很Q彈滿不錯!

小建議~
年糕禮盒裡可以多附個塑膠刀。
還有年糕禮盒是給好大一個提袋...(暈)。提袋是很適合採購時提啦@@但是送禮時袋子那麼大一個看起來有點空虛...... 希望之後能出小一點的提袋（紙袋更好更美觀）。"
Klaus Kuan,4,吐司不錯但常常架上很空，感覺開爽的
jeremy chen,4,就愛這家的吐司，沒什麼超軟或鮮奶的噱頭，只有簡單的原味，從大學吃到現在超過30年了
林幸宜,2,綠豆糕好吃，麵包不優。
凡事感恩赤子心,4,口味特別…
林錦清,5,生計的年糕只有過年時才有，過了年卅就只有等明年了。
Nimoca Chien,5,年節將近，上周北上投票後順手買了兩盒綠豆糕跟一包南棗核桃糕當伴手禮，結果大受歡迎，早已吃完了！
謝瑤瑤,2,經過買個點心，之前吃過還不錯，但買了2次櫃檯小姐態度真是讓人覺得不舒服，再好吃都不會想再去買⋯
宣蘋王,5,元宵好讚!
cinca tseng,3,國內來買特製的桂花年糕，口味特殊但偏甜，不放冷藏很快就出油
Yonton Kormar,5,"綠豆糕非常好吃。

其它產品沒試過！"
Evelyn Yu,5,"南棗核桃糕毫好吃
一入口就被新鮮的香氣驚艷
看網友推薦購入的棗泥年糕也不錯
雖然棗泥偏甜 但是就著茶吃就剛好了
常溫能放五天 不像傳統年糕要蒸熱才能吃
懶人覺得好方便阿XD"
黃詠翔,4,月餅一盒台幣570元，好吃，但保存期限是結帳時才貼上，難免令人懷疑是否正確(9/24在店裡結帳時被貼上的是10/7到期)。
鄭慧蓉,4,全都非常好吃！要減肥的…千萬別去！一開吃，就停不了口
Judy Lin,3,綠豆糕還不錯吃，1盒12片$100，對人口數少的家庭，數量剛好
ymigl,4,從小吃到大，雞肉派的美味實在難以抗拒，青醬燻雞與芋頭起司吐司都很獨特，一定要來試試看！
Weiling Chang,4,"糕點濕潤度高，不會一直口乾。
付款僅能用現金有點不便！"
Liang-Kai Chu,4,比較像糕點店 麵包種類較少
Grace Bear,4,"月餅皮薄用料實在
綠豆糕溫潤
秋節前一星期還有各式口味
零售
晚來就只有禮盒可作選購"
王振洋,5,老婆大人的最愛，從小吃到大！店面剛整修好！
陳珮玲,4,抹茶紅豆手撕包超好吃，物超所值
許秀芳,4,精緻美味幾十年不變，女兒特愛它的蓮蓉口味，我偏愛棗泥，酸甜酸甜又綿密，綠豆糕略帶麻油香氣
Manic Peng,5,綠豆糕不論豆沙或棗泥口味都超好吃，稱得上是具有代表性的茶點。
Fion Huang,4,月餅口味眾多，熱門口味建議早上即至門市購買，避免撲空。
蘇家瑩,5,麵包平價，包裝簡潔，可見商家用心。
趙志清,4,每年端午節綠豆糕，中秋節小月餅，元宵節的元宵都固定購買，轉眼也廿多年了!!
Chih Wei Kang,4,"價格高昂，有名的老店
可以來買元宵"
James Hu,5,綠豆糕甜而不膩，嚐起來濕潤不會過乾！是配咖啡的好甜點。
jesse Ch,5,"喜歡拿破崙派還有芝麻麵包
簡單就好吃"
Jiro Lee,2,今日下午四點左右去買元宵，櫃檯收銀小姐找錢直接擺桌上，一付欠債還錢的態度，打壞了我多年來對這家老店的好印象，每年元宵節前都會固定報到的我，也許之後要買元宵時，會再三考慮。
呂侑寧,2,看網路很期待去買了桂花棗泥豆沙跟芝麻，沒一個口味值得推，餡太硬、然后調味蠻奇怪的。
gene hsu,1,在等待產品出來的時候，老闆娘一直推銷鮮肉元宵好吃，想要換口味，你也不用對著我說：這樣換我們會很麻煩欸，也不想想我等你等了10分鐘了！
Joe Yu,5,每年必買的美味小月餅！
陳平,5,店面不大，但好味道70年不曾改變！
Yui Yui,5,"綠豆糕好吃，大推桂花年糕
，雖然有點油但太太太好吃了"
張祐嘉,5,好吃，實在
W Amida,5,品質超優物廉價美 老闆是很佛心的
王思允,4,綠豆糕好吃
謝承翰,5,超喜歡拿破崙派!!綠豆糕也很好吃
Robin Chang,5,第一次走進生計食品，隨手買了45元一個的紅豆麻糬墨西哥麵包(正確名稱不太記得)，2個人當午餐吃，外皮酥脆內餡香甜不膩，令人回味，下次想專程再回購。
郝惠鳳,5,老店、品質有保留原味
砂糖製,5,非常好吃，C/P值又高的歐式點心
張瑞璋,3,這是個老店了，還好啦，沒什麼特色
Elaine Cheng,5,拿破崙派無敵好吃😋
vwy vwyvwy,5,吃來吃去，還是覺得這家月餅，最好吃！
Chun Eric,4,超級老牌的麵包店，月餅和湯圓有名，但此店的產品價格不便宜。
Patty Hsu,4,綠豆糕是吃過最推薦的，很讚
Kif Fang,5,台北最正的綠豆糕
林修峰,4,開設30年以上的老麵包店 雖然沒有趕上時代的連鎖 店的性質 但是傳統 暢銷品牌緑豆糕還是賣得很好
lantis yu,5,口味道地，服務有深度
秦國基,5,月餅口味傳統好吃，綠豆糕大推。
Ed Love,4,老店，元宵是用篩搖的
Leon Ni,4,古早味的西點麵包店，從小到大
Chou舒菲,1,店員態度真的很沒禮貌，破壞生計多年帶給人們小時回憶的美味，可惜啊⋯
譚傌是,5,旦黃酥常缺貨
傑克眷村包車旅遊,5,鳳梨酥超級正點，送給客人帶香港每個人都說好吃，下次來台觀光最佳伴手禮👍
Grace Wang,5,從小吃到大，真材實料的老店，值得專程前往購買，月餅和綠豆糕大推
