author_name,rating,text
A Liu,1,"米粉湯持續加熱但是一直沒有加蓋
感覺路邊的風沙或是落葉都已經跑到米粉湯裡面了"
孫淑雯,5,好吃又平價
林志威,4,雞捲好吃，米苔目不錯！
jing sheng,4,"雞捲好好吃
外皮酥脆
醬汁特殊
老闆很親切"
Matt Chen,3,米粉湯價格口味OK，沒很餓的時候適合來上一碗。老闆娘其實人不錯XDD
謝功河,4,小菜很不錯，米腸好吃
可以認識妳嗎?,3,"有冷氣
醬油膏拌麵"
Rose B,4,老闆娘臉很臭，但人很好！
陳柏豪,5,好吃的雞捲
郭維,4,還是從前口感~古早味
田愛倫,4,"(由 Google 提供翻譯) 說起這家的米粉湯 應該從迷人的周邊小菜 和與米粉湯煮到軟爛的油豆腐 豬肉皮 內臟等黑白切 搭配店家自己調製的醬油膏 和兩種不同的辣椒醬 讓人一口接一口 欲罷不能
米粉湯的湯頭 自然是不需要多說 濃郁香醇的湯頭 喝到嘴中第一個直覺 今天嘴巴真是業障重啊～ 跟湯裡美味的膽固醇拼了！
店內還有一絕就是老闆娘自豪的古早味炒麵搭配陳年老滷汁川燙後進炒鍋去翻炒的麵條絕對不是一般攤子做的出來的風味搭上大量的豆芽菜和韭菜一入口的剎那姥姥!俺想您叻。 …"
Canny Lin,3,"(由 Google 提供翻譯) 古早味

(原始評論)
古早味"
jean chen,5,
溫惠敏,3,
DUNG CHAO YU,2,
連宥荃,4,
柯宏運,5,
Yanlang Chao,5,
MIGOxyzZ,5,
Chun Chang,4,
科浩文,4,
