author_name,rating,text
Aurora,5,教練不僅專業，兼具耐心與童心，能使小孩聽從並樂在其中，每週課後都特別好睡；做為家長，則在一段時間後，突然發現小孩平日活動活力依舊，但不再容易受傷，動作看得出體操課的影子。
Cheng Pixie,5,"⭐️教練都非常專業！有愛心和耐心，喜歡孩子！
空間寬敞乾淨，小孩每週都很期待來上課"
蘇文青,5,兩小孩從親子班上到現在小五跟小三還在繼續上，主要教練都是專業體操退役，除了專業教學，對小孩也是超有一套，小孩喜歡就一直上，體操課是全部才藝課上最多年，也是最喜歡的一堂課。
吳俊賢,4,給小孩放電的地方(家長想要長度增加)
謝享軒,5,老師經驗很充足
德阿,5,是一家非常好的體操教學場所
kuo川,5,"環境有點舊
但有認真在維護的樣子
教練也很願意討論上課狀況"
陳采靖,5,教練親切專業
許天明,5,小朋友學體操的好地方，教練們都很專業、親切 :)
ned tseng,5,小朋友放電好去處！
Louis Hu,5,
陳筠,5,
Jufang Ruby Tan,4,
Lu Chun-An,4,
何麗影,4,
Chih Chieh Liu,5,
語荷,5,
童年寬,5,
馮力中,5,
Tingwei,4,
clair chiang,5,
李仁凱,5,
羅承裕,5,
Kelly Pan,5,
Chiashien Lin,5,
Kenny Huang,4,
