author_name,rating,text
mi mi,4,"南棗核桃糕💰190❤️❤️❤️🤍🤍
共15顆。比“義美”&“樸食”的核桃糕都硬，有點類似牛軋糖的口感，核桃與“義美”相比感覺較少，甜度很高會膩🥺，南棗核桃糕都滿甜，但是馬可比“義美”再更甜一點
特地買了幾家回來比較看看，比較過後，個人較偏好“義美”的！

雜糧手工燕麥餅💰33❤️❤️❤️❤️.5
內含2片，有燕麥香氣，吃的到顆粒，還有加入些許葡萄乾，有口感味道不錯，甜度適中"
kimi kuo,1,用蛋糕券加價15元購買伯爵蘋果燕麥豆漿蛋糕捲，店員沒有從冷凍櫃裡拿新的蛋糕捲，直接包冰箱裡展示的蛋糕捲，回家一吃蛋糕很乾不好吃，遠遠不是平常在吃的馬可蛋糕捲的濕潤度，不知道冰了多久趕快丟出來，很糟糕的處理態度，浪費一張蛋糕券(我訂了100盒送彌月禮，有部份換成券使用)。
黃珮瑄,1,今天在櫃檯看到這款紫薯地瓜脆餅，想說是新品來嚐鮮看看，因為放在櫃檯後方，所以是由櫃檯人員拿取並直接結了帳，回到家才發現餅乾的袋子有泡到水的痕跡⋯⋯
慧,5,當值人員給予的服務應對，很是舒服！
Miok Kimura,4,真材實料，產品越來越多樣化～😊
朱gen,4,麵包好吃 但不好停車
Cherry Ko,5,愛來買麵包
Simon LEE,5,店裏面沒有一般麵包店的香味，可能是沒有添加物的關係，但是麵包真的很好吃。
麵包,5,"店長非常細心
這次訂購彌月蛋糕，親友都說很好吃之外，在送蛋糕的一些細節，店長給了相當貼心的服務，讓我的彌月卡可以順利交到每個人手中
以及謝謝白天班的一個大姐，試吃過程相當友善，感覺非常好，沒有比較過幾家就決定馬可先生，並且因為服務態度非常好，我選擇離我家較遠的分店，並沒選捷運旁的店
親切、溫暖，還是最重要的一件事！
謝謝你們！"
Leopold Hsu,5,來試吃彌月蛋糕，很好吃
Chang ya yi,5,麵包紮實香而清爽；蛋糕紮實口感不會過甜清爽無負擔~😘
許煥典,4,喜歡它的麵包
Peco Liu,5,"喜歡他們家的麵包
天然好吃"
張淑娟,4,"新開幕，圖片永和豆漿的位置
連鎖店，品質肯定"
杜鴻威,3,健康的麵包還有有機濃豆漿都不錯
Joe Blue,3,有便宜冷凍麵包!!
Sun Christine,5,麵包真好吃又紮實！
黃思中,5,養身美食親切便利
陳月華,5,健康雜糧麵包
Russell Hung,3,麵包好吃
Jason Cheng,4,天然的產品
姜真如,5,用心做健康烘焙麵包的好店。
劉順汶,5,好吃服務好
Nora Hsu (桶子葉 Barrelleaf),4,麵包真實 好吃
Chih-ting,4,"(由 Google 提供翻譯) 愛麵包。但是有些工作人員不友好。

(原始評論)
Love the bread. But some staff is not friendly."
林豆豆,4,
Yen Rong Burn,4,
洪肇佑,4,
Sandra Wang,4,
penny wu,4,
廖慶貴,4,
claire s,3,
RY AUL,4,
彰文翁,5,
さぽぽの台湾人生,4,
林小辛,5,
莊淳慧,5,
Vicky & Maguya liu,5,
鄭昱琪,4,
林孜曄,5,
陳冠吟,4,
James Liu,3,
林郁倫,4,
翊翃,5,
Teresa Chen,4,
fred yang,5,
劉佳濠,5,
何順安,4,
建建,5,
Ge Man Lin,5,
C.H. Huang,4,
mf Chen,5,
