author_name,rating,text
陳山米,5,"因為疫情關係，不敢趴趴走，可是突然好想吃auntstella的餐點啊！！沒想到官網現在可以外送內！選了離家最近的門市。
點了一份白酒蛤蜊義大利麵和一個馬芬跟家人一起吃，讚讚，好吃不打折！"
Y C,5,"木盒包裝的喜餅很漂亮，
磅蛋糕好吃，
雖然餅乾比較甜，但整體很不錯！
店員非常友善親切， 不強迫訂購，推薦～"
Mira,3,鹹派又熱又好吃推薦，但這個花茶茶壺真的很有事，蓋子根本蓋不緊，又很滑，用手指也壓不住，倒茶就掉進茶裡，兩次！！跟店員反應蓋子不牢她只説：「對啊。」害我好丟臉...。
Alan Yuchen Chang,3,和家人吃飯接著來喝個咖啡。環境是一致的標準舒適，但餐點的製作要等上許久一點，服務也是一般。
jade chiang,5,"餐點一直都還有水準 不過給大肚量的人吃也許略少
推薦好吃的鬆餅 趁熱吃配著水果和冰淇淋一起 真是滿足了自己的味蕾"
Che-Yuan Hsu,1,服務態度差 明明沒客滿還空個兩三桌 硬是要塞長桌供桌位給一個人的客人用餐 四五百的價位 來這邊就是圖個舒適的用餐空間 這樣的服務無法接受
keying Cheng,4,氣氛很好，紅茶泡得很好，熱巧克力不會死甜，但餅乾偏甜。餐點口味都不錯。
Lilian Hsiao,3,很久沒來吃了，來回味一下。點了牛奶咖啡贈送電心，能選磅蛋糕或餅乾。另一份則是下午茶套餐，可可配起士蛋糕。餐點部分覺得磅蛋糕普普，牛奶咖啡不推，起士蛋糕選了莓果醬口味，上面的醬卻像大賣場買的超甜草莓果醬😂最後，可可蠻好喝的～可以點！
jkliqweasd,5,服務格外用心。 軟餅讓人驚豔 。餐點比外面很多同價位或更高價位的餐點更讓人喜歡
Anita Lai,5,好喝好吃～手工餅乾真的好吃❤️
Shan,5,服務態度優佳，食材新鮮美味可口（可先預約座位）有餐廳及禮盒專櫃。
Yucherniris,1,連續兩天來這邊喝咖啡，兩次餐點都等了半小時才上，比我晚來的客人餐點都上了，我的都還沒來，非常納悶。
傅虎咪,5,"親切的服務
店長服務非常好
今天經過看禮盒，看見有星座禮盒很特別可愛！
下次會再來選購
奇異果汁也夠濃很好喝！"
Pei L,5,2020/6/23吃完飯後到這邊買拜訪客戶要帶的伴手禮，遇到的男店員非常親切，認真而詳細地為我介紹各種包裝和口味，也給我很多送禮的建議，雖然最後我消費的金額不高，但是下次絕對會再回來購買~
Jonathan Liu,4,還算舒服的環境咖啡跟鹹派也還可以
林沛蓉,5,"服務態度很好，餐點好吃😋
推薦給大家👍🏻"
monica lee,5,點飲料都會附餅乾或磅蛋糕 飲料和甜點都好吃 服務員聰明俐落 是個很適合和好友喝下午茶的地方 下次想試試他們的餐點
KaiKai A-,5,有點貴，鬆餅跟飲料都滿不錯的
Tsai Ping Liu,3,"餐點味道不錯，食材也有水準。
但點餐時說等30分鐘實際上超過60分鐘，再好吃的餐點也會扣分。不過服務人員一直保持笑容，辛苦了。"
林鈺堃,5,有美女店長跟美女店員還有U質服務 快去快去😉😉
陳晴,1,慢啊慢啊好慢啊，是外場人太少嗎？
Leoni Yueh,4,義麵不錯，冰滴頗有水準
曾鎂宜,4,遠企的B2美食街，吃完飯，喝美式咖啡130（送2片手工餅乾），很親民，姐妹聚會聊天，不限時
Yi Fen Yu,2,"餐點好吃  但週末出餐慢到一個離譜 ⋯

有收服務費   但結帳時沒有帳單，   結帳人員還要我們去看一下   也是蠻莫名奇妙的"
