author_name,rating,text
Agatha Chang,5,Dream Fitness 裡面乾淨舒適，教練營養師跟接待人員都十分專業及用心。教學飲食規劃會因每個人的身體狀況作調整，這點很喜歡！且教練跟營養師都會鼓勵學員，讓學員更有動力👍👍👍 運動完後的乳清蛋白好喝～～～
TING TIEN,5,"經過許多間的評比，Dream Fitness 最符合我的設想
1. 沒有閒雜人等：
因為我奇葩的個性，很在意身旁的狀況。如果有許多人閒閒在旁邊聊天，心情會受到影響（我怪異，我驕傲）。不過在Dream 裡，大家要不是在被教練折磨（！？）要不就是在自主練習（大家真的很認真），沒有人會在旁邊英英美黛子，真的讓健身旁的氣氛很正面很好～
2. 教練幽默有趣但絕對專業： …"
Lannie Li,5,環境舒適，工作人員都無敵親切，每次健身後的乳清也都很好喝，以前真的沒在運動，但自從來到這邊就慢慢習慣也喜歡上運動了，看自己能越舉越重就有種成就感哈哈哈
Krystal Chang,5,我是一個幾乎不運動的懶人，加上我很不喜歡跟一堆陌生人運動，機緣之下發現了這家環境明亮的網美健身房😂細心又親切的Adam教練幫我做諮詢以後，開始我快樂又痛苦的旅程🥲專業又美麗的Alice會認真與我討論飲食規劃，讓我從大食怪逐漸縮小成正常胃容量😌最後是我偉大又細心的James教練，每個動作都會認真、耐心指導我，雖然我常常會讓他哭笑不得，但他總是會耐心教會我該怎麼施力，避免代償痠痛的情況加劇，課後也會關心我的痠痛情況。這裡的一切都讓人很放鬆也很安心，歡迎大家一起來運動💪
楊凱翔,5,"全台北最強五星級健身環境！
還配有專業營養師監控飲食狀況全方位監督XD
買了兩個月課程+自主訓練覺得物超所值
謝謝Leo 教練耐心指導🙏"
Arvin Ch,4,果然是台北最強五星級健身中心，健身教練很專業又親切。
Sheng Xiang Su,5,"比較過很多健身房，還是最喜歡夢想的模式
1. 環境真的是五星級的，非常乾淨舒適
2. 訓練課程有搭配營養師，重訓與飲食一起，不管是要增肌還是減脂都能事半功倍
3. 課後有免費的高蛋白飲品，連自主訓練也有
4. 老闆非常有愛心，每次上課都會給五塊錢讓我們可以投在毛小孩的捐贈箱做公益
5. 訓練後都會看到教練很用心的消毒用具，進入場館都會做好防疫措施

特別感謝我的指導教練 KK ，不厭其煩的提醒我動作該注意的細節🙏"
Eva Su,5,"環境乾淨明亮，有淋浴間及化妝室。
Jack、Alice、Melody及大家都滿親切的，推推~
忍不住偷吃零食的時候還好不會罵我XD
而是要我考慮吃進去的營養價值及藉由運動去消耗卡路里，讓熱量赤字（雖然最近又偷吃不少QQ）
來這邊一陣子了，同事跟朋友都說有變瘦！
希望能繼續瘦得健康不復胖~贅肉再見、肥肉再見😁
Ps. 運動完後都有一杯乳清（可選口味）或豆漿可以選擇，也可以選購生酮點心（例如蛋糕）~"
Emily Hsu,5,環境舒適，防疫措施也做的很確實，教練們也都很有耐心！
徐其子,5,我在夢想健身師大館運動。很幸運我遇到了個性好又非常專業的教練Mickey.。一一針對我所需的動作細心講解及調整。讓運動不受傷。這裡還有營養師唷可以針對個人體質做最恰當的營養調整。我最喜歡的營養師Alice. 每天盯緊我的營食。給我最放心又有效的營養控制。愛你們唷. Mickey及Alice是你們來夢想健身的最佳選擇。
Cathy Lan,5,超會鼓勵人的教練跟營養師！讓我這個沒運動習慣的人都能每週乖乖來訓練！
SHAOYU HUANG,5,對於完全不懂健身的我，這是一間很友善的健身房，店經理Adam告訴我訓練與飲食相輔相成的觀念。在昂訓練的部分Micky教練除了注意我的動作有沒有正確之外，也同時講解動作的原理！Melody營養師在我傳飲食照片的過程中，也常常提供營養相關的專業知識！除了體態變的更健康，也學習到很多對自己健康有益的知識！非常推薦夢想健身！
Wu,5,我的健身房初體驗就獻給Dream Fitness師大會館了，雖然課程價格不是非常美麗，但是從開始到現在一個月了，從未後悔！首先，整體環境非常棒，大廳、休息空間、淋浴間很高級，而且免費提供洗髮精沐浴乳，還有乾淨的浴巾可以使用。第二點，訓練空間雖然不大，但是教練都不會讓你有「等」別人使用完某項器材的問題，器材方面也是麻雀雖小五臟俱全。第三，櫃檯人員很親切，每次進去或離開健身房，他們都會熱情打招呼。第四，每次運動完都有免費的乳清可以喝，還可以挑口味！ …
Vincent Peng,5,Mickey教練專業又帥氣、Alice營養師美麗又大方，整體環境明亮寬敞舒適，課程安排循序漸進，有難度但都達得到，重點是真的有效果👍
阿谷,5,"這是我人生中第一次到健身房😂
整體感覺很舒服 是對初學者很友善的地方
每個教練和工作人員都很親切
環境很讓人放鬆 廁所 淋浴間都很整潔
可以參考圖片都是我親自現場拍的
每次上課前都會紀錄一次身體數值
讓教練和自己瞭解是否有進步 並做調整
訓練是全程一對一教學
我的教練是Mickey
我很多動作都沒辦法馬上做好 協調性也不是很好
但教練很有耐心的一步步教導
而且會特別強調施力點 提醒調整呼吸
教練每分秒都在仔細觀察你的操作方式是否正確
也會在訓練中短暫的休息時間 …"
洪晨瑋,5,"健身房界中的網美！裝潢精美、設施很乾淨～
服務周全，教練和營養師都很親和！
乳清蛋白口味多，很好喝！"
