author_name,rating,text
muse my,5,老師很丘也很帥，教我們很認真，發現跑酷真的很有趣，不過因為手力不夠有一些動作沒有辦法做，但是真的超帥超好玩，可以去體驗或學習看看！
蔣翠姑,5,螞蟻教練也非常的厲害我有給他教過我是小朋友阿公教練很厲害悍酷的每位教練都很厲害👍？
M. S.C.,1,來過一兩次，都是自己人跟自己人玩，不怎麼理新人。
Prtl. Studio,1,幫小朋友註冊課程請先三思這家沒有學員受傷的保險預算
Paul Chu,5,阿公教練很專業外，也很親切。強力推薦!
Irene LEE,5,教練超有耐心，我兩個小孩都超喜歡這裡的跑酷訓練！👍🏼
Temmie. K,5,超棒 好練好玩
Louisa Chan,5,參加兒童跑酷課程，小孩很喜歡
Luke Wu,5,教練團隊專業又細心，提供學員一個安全的學習環境
跑酷人簡先生,5,"台灣少數的跑酷訓練場
教練都很親切
熟了也可以在私底下一起外練"
宅威威,5,教練循序漸進又有耐心的教學，是一個很棒的運動地點～
黃致豪,5,臺北區域少見的跑酷室內訓練場
Marco Hu,5,呂教練和阿公教練都非常優秀！！
李忻柔,5,讚！
楊皓閔mason,5,螞蟻跑酷
跑酷阿偉,5,跑酷好去處
劉柔含,5,
Kato KT,5,
林鼎傑,5,
SJ C,5,
胡峻愷,5,
ying lee,5,
ca rry,5,
張文昌,3,
黃彥綸,5,
王善杰,4,
陳玉純,3,
Van Damme,5,
善軒媽媽嘉容,5,
江京諭,5,
杜雨,5,
Kuo Johnny,3,
范少君,2,
高玉樹,3,
Emanuel,5,
Yu Tang Lin,5,
超違,5,
白弓,5,
