author_name,rating,text
ㄒㄩㄢ,2,"▪️味增綜合 $65
▪️麻醬涼麵 $65
▪️海鮮麵疙瘩 $100

三款口味都還不錯 但偏鹹
然後份量跟價格不太成比例

用餐環境待加強
離開前看到蟑螂翻肚在我眼前QQ"
Chu Lily,1,家人去吃味增湯麵碗裡有多隻蟑螂腳，說不定都下肚了，衛生堪憂！！
anka huang,1,路過沒查評價，不好意思，很少會説但實在想說：難吃，涼麵麵條感覺塑膠塑膠感，很不真實的感覺！整個倒掉，為何可在公館生存？無法理解
Olivia Jean,2,"一陣子沒去吃了，下午三點突生懷念之情，推門進去發現裝潢更新，變得明亮些，但桌面卻不似從前乾淨，黏呼呼猶存幾滴醬汁，是人手不足嗎？嚥下稍許不滿，我匆匆完成點餐。

餐點上桌，吃了一口沒滿足懷舊之情，反倒讓人感到失望，麻醬涼麵滋味貧乏寡淡，紅油抄手肉腥味滿溢，這，還是我從前不時造訪的「我家涼麵」嗎？頹然放下筷子，陸續仍有零星客人進來，我起身離開，想著，這應該是我最後一次造訪老所在了吧⋯⋯"
西卡潔,4,真不知道爲什麼分數這麼低，炸醬麵疙瘩跟麻醬都不錯啊，味噌湯也中規中矩
0601 one,1,"櫃檯的阿嬤很沒禮貌，問客人要不要餐具只講一個欸！
基本謝謝也不會講，涼麵裡面還有不知名的毛。"
鹿盈,5,"涼麵好吃啊 很好吃
雞絲普通 肉有點柴
蛋花湯的蛋不是全熟的 超讚啦"
KC Chang,4,除了價位有點高以外，味道還算不錯啦
王博奕,3,東西口味還算不錯，但真的有點太貴。
雲科熊仔（ZMJ）,2,東西還ok，但是我們吃飯超過營業時間五分鐘，正準備要吃完最後一口，有一位阿桑工作人員冷冷的說，我們已經打烊了...我也知道已經打烊了，而且也加快速度吃，打烊前20分接客本來就要預想可能會耽誤到打烊時間，只剩最後一口卻來催客人，覺得這行為有點多餘，也打壞吃飯的心情⋯⋯
C. Alston,1,"態度很差，真的很差，買過不少次了，
東西還可以，但態度真的不敢讓人領教，
今天買了兩碗麵疙答，一般我是都沒在點湯，
今天心血來潮突然想喝，所以又點了個蛋花湯，有鑑於有的地方蛋花湯沒有青菜，所以我很客氣地問了老闆娘我的蛋花湯能加錢加青菜嗎，
老闆娘這時突然很冷的說，沒有、不行，
我愕然了一下，還是很客氣的跟她說沒有青菜了嗎，
這個時候她就很不愉快的跟我說，一碗蛋花湯裡面有蛋又有青菜30元是我 我要賣嗎？
我這時候就很疑惑了，跟她說所以我加錢加青菜沒有關係呀， …"
Jason,5,"麵疙瘩味道很好，麵也很Q很好吃
人手只有一人，吃飯時間可能會比較慢"
Kenny Tao,4,還不錯吃，但希望店內用餐能盡量不要用免洗餐具，一起來減塑
YCH,1,"對顧客完全視而不見
很貴，買一碗麵疙瘩，吃到以為自己買的是一碗湯…
偏偏湯又鹹，不能全喝完
收餐桌時，桌上湯湯水水的也沒擦

同時四個人顧店可以顧成這樣不簡單

也難怪其他間店都在排隊的時候，這裡還可以有空位
算是唯一的優點吧"
Chaffee Park,1,味噌湯30豆腐不到一個湯匙的量，涼麵這樣要80，環境真的髒，態度也夠差，還忘記出菜
Lollipop Shih,1,店裡阿姨態度超差口齒不清，根本不知道在說什麼，然後桌子沒擦乾淨，反應後卻還說我有擦，桌上還有很多前一個客人滴下來的醬汁，麵偏硬，感覺像沒熟似的，送其他餐點的時候直接說這你的嗎，也不說餐點是什麼，完全不會想再關顧
呂逸偉（‫泊泊而出的希望 ماء زمزم‬‎）,5,涼麵的醬汁濃郁，蛋花湯口感柔順，難怪可以成為推薦名店。
劉奕昀,4,"雞絲涼麵（小）$75
吃起來很普通但份量蠻夠的，醬偏鹹我不太喜歡但同行友人覺得很讚所以應該是見仁見智🤣

蛋花貢丸湯$55
蛋花口感有點偏滑蛋，貢丸的部分中規中矩，湯頭偏油。"
麻幾,1,阿姨送餐給隔壁 聽到別桌客人問說 為什麼你的手指要插在裡面 阿姨居然回 我們都是這樣的⋯⋯⋯⋯⋯⋯⋯⋯
王花花,1,東西算還可以啦 但老老的阿姨態度也太差了吧
HUNG,1,"吃完發現涼麵裡面有蟲，衛生堪憂。換了新店面衛生還是一樣噁。
老闆娘一副欠她錢似的，態度超差，自己記性不好，還怪客人點錯。"
Chang Wen,2,經過想吃涼麵；價格貴、整體吃起來味道平平、醋跟芝麻沒有什麼香氣…
無無,3,雞絲涼麵胡麻沒什麼味道，雞絲也普通，味噌湯還不錯，湯頭濃郁，內用不能攜帶外食，一進來有股味道，覺得不是太好聞，整體覺得就是一間普通涼麵，不會再訪
Joy Chen,2,"涼麵份量蠻大味道還可以，加點辣椒可以提昇味道。

蛋花湯味道也還可以，中規中矩沒有特別突出，貢丸倒是蠻好吃的。

紅油抄手好小一碗，味道普通不辣，有醋的香味，不過份量真的太小，還好有點了涼麵。

用餐環境不優，感覺整齊但不夠整潔。服務態度不用期待，沒什麼笑容也沒什麼服務。"
Jackie Wu,3,紅油抄手味道可以再辣一些；然後特製涼麵味道還不錯，但是榨菜毀了一切，覺得不搭！
