author_name,rating,text
州,4,"【乾咖哩雞 170元 / 煎餅 50元】

低消100，以人頭計。
雖然乾咖哩確實是如此，但醬吃起來還是偏少🤣
配菜就很典型的馬來西亞風味～
雞肉還不錯！夠嫩又不會太軟；
煎餅風味十足，可以嘗試👍"
x yz,2,外帶包裝很細心，餐點也很好吃，參峇辣椒跟咖哩味道很夠，雞肉有一股怪味，但我還是照吃了，吃完後肚子很痛，拉肚子兩次⋯⋯雖然很好吃但我不敢再吃了⋯價位也偏高⋯😥
Jessie Jian,5,評五星送可樂，咖哩雞椰漿飯，咖哩蠻香還不錯；酸辣海鮮湯麵+米粉湯頭也不錯
knifeyui,5,椰漿飯很好吃，東炎酸辣湯也很夠味！
Ya-Ting Hsu,5,海南雞腿肉很嫩米飯是用泰國米，粒粒分明，很好吃。晚餐口袋名單。
莊雅如,5,"點了招牌的乾咖哩椰漿飯
好吃到爆，可以再奮鬥一個禮拜"
鄭凱文,5,很道地的大馬料理，椒麻雞好吃！
Cy K,2,乾咖哩雞腿飯是因為快打烊了拿大黃瓜、蝦餅跟花生這樣混過嗎…我看其他評論配菜是高麗菜跟豆干。煎餅還行。
Mini Darysasuke,5,"檳城蝦麵真的好吃！
Sambal自己做，味道十足又正宗！
只要想吃馬來西亞餐，一定要來這裡！"
蔡鎧婷,5,來過好幾次了，海南雞和叻沙都很好吃！
土方歳三,5,吃過好幾次了，雞腿飯真的好吃，價格也還蠻划算的，讚讚
Shirrley Shen,5,好吃！最推海鮮咖哩叻沙🙆‍♀️🙆‍♀️🙆‍♀️
鄭芷琳,5,海南雞飯很好吃，肉很多飯也很香！
Chew Zi-Qi,5,"因為好吃很常來吃，味道大家都公認是很好吃的了
但這次是老闆人真的很好，上禮拜走路的時候不小心掉了一邊耳機，打給老闆求助，結果老闆幫我在門口的路邊找到，還幫我收了一個禮拜，人真的太好了～～ 大推 乾咖哩雞飯！比x先生好吃～"
團泛,5,很好吃，運動完吃這家，好吃又有飽足感，而且咖喱鍋超好吃
Eric Cheng (ECheng),5,從大學就很喜歡的平價高CP值馬來西亞菜
曾沛恩（Francis曾大毛）,5,"Nasi Lemak味道、配菜都還蠻道地的，白煮蛋、黃瓜片、花生都和在馬來西亞吃的方式一樣，運氣好的話飯下面有時候會放香蕉葉，可惜沒有江魚仔。
飯和Sambal都可以免費加量，吃完一整盤份量相當足夠。
炸雞腿炸的不錯，可以說是外酥內軟，大腿與小腿有分開，減少吃的時候的很多麻煩。豬排的部分倒是有點怪異，不是不好吃，只是豬排的口味和外皮的樣式感覺偏日式風格。
另外就是湯、飲料自助，並且每天有特價的特餐。"
紀岱亞,5,海南雞飯肉很紮實 醬汁也很獨特 下次會再來
allen tsai,2,"冬陰湯真的很怪
但是煎餅很好吃"
Adeline Chua,5,"美味, 海南雞飯好吃☺☺👍推薦"
阿K,3,口味可接受，但170的餐點以配菜看來蠻貴的
Jeremy Liu,4,"「憶馬當鮮」的大馬料理道地又美味，
各道餐點都很有特色風味又特別，
整體來說是比較重口味就是了。
這家的招牌乾咖哩雞飯和最熱賣的海南雞腿飯都很道地又美味，
整體的份量又大。

總之「憶馬當鮮」是台大後門附近個人相當推薦的餐館之一，
也是間不錯的異國料理好選擇。"
Chris Yeh,4,"好吃的大學生異國美食,有免費飲料及湯, 分量充足, 值得推薦!!"
Yuh Shen Lye,5,這裡的食物還不錯。可以來試一試。
Bryan Chang,4,擺盤有吸引力，份量充足，咖哩口味不錯。
Danny Hsu,5,"不錯吃
BTW葉俊毅會很愛 因為一直放黃明志的歌"
Miki Ieong,5,招牌乾咖哩椰漿飯好吃！但我覺得可以更辣哈哈，下次想來試試看其他的餐點～
Jimmy Wang,5,這是我吃過最好吃的馬來西亞料理
豪豪頻道,5,東西好吃，特別推海鮮咖哩LAKSA
張仲誼,3,東炎酸辣鍋酸味夠，但不太辣，整體個人認為偏鹹，不過裡面的料給的還算夠。比較特別的是他們的大馬煎餅，沾料有咖哩和糖，可以吃鹹的和甜的，還不錯
FongFong鋒鋒,5,好吃 有家的味道 推薦大家來吃 尖峰時間人潮很多
陳宥儒,5,餐點美味好吃～環境乾淨～
swifty,5,飲料、湯無限用～海南雞好吃
張珍悅,4,"憶馬當鮮位於118巷內，從台大後門走過來大約2~3分鐘，科技大樓捷運站走過來則要6~8分鐘。門口就亮著一個馬來西亞國旗，再加上水藍色的大招牌，其實外觀不算低調

提供特餐類（見當日門口的小黑板上的菜單）、椒麻醬類、豆瓣醬類、酸甜醬類、素食類、辣嘶你媽、……看到這邊本君就心動了，光聽「辣嘶你媽」這麼酷的名字就覺得想吃!!!

菜單上很貼心地連餐點裡面有沒有炸物都寫出來了，對本君這種一向抗拒炸物的人來說實在是很棒的設計啊～ …"
Aisha Lee,4,其實外表看起來真的還好，但是我的天～這個乾咖哩雞肉好好吃！肉質也很軟，高麗菜炒的很台味，哈。
Rosalind Lee,3,"東炎酸辣鍋的料不多，撈一撈沒多少東西，湯頭上很像海鮮酸辣湯，但是過於酸了，完全不想喝第二口，挺失望的，附飯是薑黃飯這點還不錯。
椒麻無骨雞排的雞排皮太厚了，肉其實就薄薄一層，但皮炸的還可以，配菜上真的不太理想，很像在吃一般外面的便當或是自助餐的感覺，椒麻醬倒是還不錯，但覺得偏了台式口味。
大馬煎餅的口感無敵像乳酪餅的，口感還可以，但是會膩，即使沾醬一直同樣的味道就很無聊，沒有層次的食物。
整體來說普通，有待加強的地方還很多，但用餐的感覺還可以，會再試試其他的食物。"
戴宜婷,5,道地的馬來西亞料理!份量夠大絕對吃得飽~
Mimi龍,4,"今天點了雞腿 椰漿飯，

椰漿飯蠻好吃的，

顆粒分明、有椰漿香味，

雞腿還Ok，一般酥炸雞腿，

配菜也比較簡單，

店內有提供免費湯跟飲品。

有機會再來嘗試別的搭配薑黃飯。"
朱駿宏,5,"圖片為咖哩雞飯以及東炎〇〇〇（抱歉忘記全名）。
食物好吃、豐富，也有配湯，飲料（自助），是學生時代開始就非常喜歡的一家店；店內陳設也有濃濃大馬風味，獲得來自馬來西亞友人認證XD
唯一的遺憾是目前還沒有吃過椰漿飯（每次都售罄），還有飯量就算加飯後還是有點少，可能是料理都非常開胃的關係吧！"
Sylvia Wu,5,馬來西亞料理多半會有點辣，對喜歡清淡口味的人來說，海鮮清湯米粉麵是個不錯的選擇。清湯很鮮甜，海鮮食材也很新鮮，吃得到食物的原味。配上些許青菜，一頓很棒的午餐。店內的飲料及湯自取。環境很乾淨。
Mazer Yeh,5,"過癮
一人完食
參峇魷魚跟叻沙
滿足"
黄澤涵,5,真的很好吃! 老闆娘人很贊! 非常推薦!
林容丞,5,很特別的一間餐廳！乾咖喱雞椰漿飯好吃！！
DaWei,5,很道地的味道，是我的愛店
以謙,5,環境不錯，推薦可以嘗試看看
Po-Yao Chen,5,特餐95 以東南亞料理來說CP值在118附近很高 調味辣度和風味恰到好處 配菜很普通 飯有點乾 但整體吃起來以這個價位很划算  評4.5星 希望可以再加強
玩具,5,餐點份量足，好吃
Ya-Hsuan Wang,3,"不推薦想吃肉的人點無骨椒麻雞，如果去掉裹粉炸的皮，實際肉的厚度非常非常薄～
餐點特色部分應該是薑黃飯，平常蠻難吃到！

另外，內有紅茶可暢飲！且用餐環境不會讓你染了整身油煙味😊"
劉釋允,1,"服務生收湯碗時湯倒在桌子上再滴到我的褲子而且完全沒注意。。。服務生素質需要加強
咖喱叻沙海鮮麵只有魚露味辣味跟椰奶味，實在不佳
乾咖喱雞以150的價格來說算蠻好吃的，但隔壁棚池先生更更好吃"
U An Chen,5,道地好吃，特餐百元有找且加飯不加價，最喜歡薑黃飯上面放一片小番茄點綴，上菜時不管是視覺還是味覺上都是享受，料多的味噌蛋花湯與飲料皆無限取用。
黃天賓,5,充滿人情味的好地方，食物也很好吃！
CT Y,3,主餐170偏貴（台北相似的料理約120-150不等）炒時蔬其實就是炒空心菜，還不錯吃（夠辣～）但一盤要130；湯莫名的是很不搭的味噌湯，真要說起來，還算好吃，但就是貴了點
陳立穎,5,超級好吃😋，美味可口。
Joyce Daan,5,風味特別 好吃 。 寒冷的日子來吃 讓身體暖和起來 舒服暢快
bingcong wu,5,味道很正很好吃，叻沙推推~後門不錯的選擇！
Eric Lin,3,"那個辣是會辣嘴唇的辣
椰香飯滿濃的
就是價位有點高"
路怡潔（Tiffany）,3,"用餐環境一般，有冷氣內用提供免費湯、飲料
餐點價位100～200左右，份量一般、口味也一般。"
Vie Chic,5,用餐時段學生爆多，居然已經開店10年，昨晚餐滿坐沒位，今天過午再來試試，闆娘熱心招待特給予過餐時的服務……招牌咖哩雞椰醬飯入味順口非常美味……在不能出國的日子，道地馬來味……勾起我好多旅遊馬來西亞的回憶♥💪再來一個10年吧！
Jeff Chen,5,"最近蠻常吃的 外帶海南雞飯蠻划算
也內用過其他品項 好吃"
李晏承,4,海南雞腿飯：飯是香米飯，有淡淡的椰香味！還有免費的湯跟飲料👍
Yuwei Chu,4,雞腿好吃，其他的就中規中矩
董道心,5,海南雞腿飯還蠻優秀的~
S S,2,從配菜開始講：豆乾很鹹，炒高麗菜感覺是放很久都出水軟軟的，蒸蛋味道清淡，薑黃飯吃起來跟白飯相差不多，原本期望有特殊香味的(ಥ_ಥ) 主餐是表現最好的，就咖喱鹹一點點，辛辣感很重><然後味噌湯有很奇妙的味道...有藥味
蔡嘉軒,5,叻沙鍋很讚(⁎⁍̴̛ᴗ⁍̴̛⁎)
林圻緯,5,乾咖哩雞飯好吃到想每天來吃！！！
AuYeung Ken,4,"5星打卡送可樂, 咖哩口味好吃, 參搭辣醬夠風味不酸, 飯偏乾, 肉質普普, cp 值算一般, 想試大馬風能try, 空間略狹小, 人不多時算舒服。加飯蠻多。"
林弘哲,5,因為太晚來沒有吃到椰漿飯，但薑黃飯同樣令人驚艷！味道十分的香，咖哩雞也煮的很入味，香料味非常豐富！
Teddy,4,"這家的招牌是「乾咖哩雞飯」！（150元）
調味好也有特色，跟對面的池先生比差不多，價格還便宜一點

但千萬不要點「本日特餐」（95元）
肉超薄皮很厚"
Ryan Lee,5,店內感覺不錯，好吃！
John Ckw,5,好吃 跟馬來西亞口味一樣
Kelly Wu,5,相當道地，辣椒醬超讚
eric Lin,5,味道濃郁很道地非常好吃
SY Ng,5,很棒很好吃～老闆娘是馬來西亞人，非常到地，想家的時候會來的地方～
早安我是郭品君啦,5,舒適、乾淨且非常好吃😋
張恆瑞,2,"濱城蝦麵老實說很難吃 用170元單點的水準來說真的只能打一顆星
但是別桌的飯類跟牆壁的海報圖看起來都不錯
補充一下：店內空氣很不流通，不知道是蝦味還是香料味還是抽襪子很重=="
鄭宏興,5,身為從開張第一天就光顧的客人，我有幸見證這家店的成長。無論吃的是是咖哩還是乾咖哩，配的是黃薑飯還是椰漿飯，都有一個濃厚的家庭味（沒錯，是家庭味），這是其他馬來西亞餐廳不太容易做到的。在別的同主題餐廳，我吃的是家鄉味；在這裡，我除了吃到家鄕味，還吃到了家的感覺。這是憶馬當鮮能在和平東路二段118巷扎根近十年的原因♥️♥️♥️。
Yu Pu Kuo,5,大學畢業多年仍回味無窮的馬來西亞口味
陳沛安,4,椰漿飯好吃，但是配菜有點單薄，醬汁很專業！
huan wei liu,5,目前台北吃到最好吃的椰漿飯！跟我在新加坡吃到的味道一樣，覺得感動！
潘祖芸,5,份量不錯，神秘的小店
NN N,5,乾咖哩很香、雞腿肉好吃。
晉爾安,4,薑黃飯很不錯，陰雨天吃這個很好~
