author_name,rating,text
黃小雯,4,"10年前就被帶來吃的台大經典美食 ，一試成主顧，必吃餐點有：

現滷雞腿飯：用筷子就能輕鬆撥開的軟嫩雞腿 ，醬汁很下飯，太晚來還會吃不到喔！

泰式雞塊飯：無骨炸雞塊酥香不柴 ，配餐有清爽的川燙高麗菜 ，好吃的地瓜薯條 ，滷胖嘟嘟的豆乾＆畫龍點睛的荷包蛋 ，搭沾醬吃有另一種層次感

餐點附上一杯清涼消暑的很大杯紅茶(可補價差換其他飲料)，環境也OK!!

以學生講CP值來說餐點很可以，外籍店員的服務態度都很好，推推!!"
豆豆醬,1,台大學生當路霸卡在門口，要進去也不給進去，事後終於進去了，闆娘當我們空氣，這間給我的回憶
G-Hung Lin,4,"推100塊的特餐
特別是菜單上有粗體標示，一個是泰式雞塊，另一個我忘了
學生之友，特餐還有附飲料，讚"
Ember Chuang,4,"古早味風格的簡餐店，配菜是雋永的高麗菜豆干荷包蛋，主餐推薦滷雞腿還有泰式雞塊，贈送一杯招牌紅茶還可以加價換珍奶。

價格在公館台大這帶不算貴，是學生或上班族解決一餐的好地方。

點餐櫃檯的麥克風、格子花磁磚、泡沫紅茶店般的飲料、播放著90年代的經典流行歌曲，讓人有時空錯置的體驗。"
A-Kwon Fang,3,在公館站台灣大學旁，這處被羅斯福路和新生南路底端夾成的三角區域內的這家簡餐店和附近幾家異國餐廳都成了在地幾十年的老店、也成了這裡的居民和學生們的共同回憶；縱使經過幾次的整修，店內的橘白相間磁磚牆和黑白相間地板及格局仍是令人熟悉的不變，只是以往那拿來叫餐的櫃台麥克風似乎沒有這麼常用、以及三不五時的就會將椅子搬上桌讓人以為要打烊結果只是方便暫時清掃而已了。 …
phoebe chu,1,"一打開便當就看到完整的螞蟻在菜上很不舒服，
滷雞腿便當味道偏鹹"
Chan Jack,4,"超級便宜又簡單好吃的店
100元就有不小杯的飲料跟一份好吃餐點
主菜又給的很多
真的推薦"
yi teh han,5,"100元左右
還有贈送飲料，雖然個人認為市圖旁邊的稍微好吃一些
但這家也很棒
奶茶好喝"
許偉成,4,調理包風味的紅燒牛腩，以學生餐來說還可以吃，飲料大概是這裡的重點，每次來必點超大杯珍奶
劉銘治,1,3/20 中午，點了二份雞排一排骨，二份雞排沒炸熟，反應服務生拿回廚房多重炸沒熟那塊還是沒熟。
Tony Tsai-Hsuan Hsu,2,"從大一吃到畢業
肉的份量真的越來越少
也變得不好吃了…"
倩妤吳,4,經典滷雞腿飯，這裏的招牌還有一個是泰式炸雞塊飯。簡單的飯會附上高麗菜和一塊豆乾與一顆荷包蛋。滷汁是經典。從小吃到大的味道，前幾年好像換老闆了，橘色招牌已不再，親切的老闆娘也離開了。味道是沒什麼變。每個餐點都會附一杯紅茶，但我一定會加價換成珍奶。就是最邪惡的奶精珍奶又香又爽快呀！！！他的花生厚片我記得也蠻好吃的！還有炸豆腐！但現在菜單好像已經調整過了，不確定還有沒有這些品項。可以吃飽味道也還不錯的簡單餐食，讚讚。
TeYi Lee,4,"食物CP值頗高,雞腿飯的雞腿鹵得入味和雞肉嫩滑,如果拿來當下午茶會不錯."
Tsai Simon,5,同性質針對學生族群的店家同條路有兩家(七里/柒貳)。七里1.白飯比較軟、好吃。2.泰式雞塊炸比較軟、好吃。3.紅茶比較淡，也比較不甜。以上個人的經驗。
Ivan K f a,1,"泰式雞塊便當： 配菜過於簡單， 而雞塊只是酸辣醬放上去配，整體口感尚能接受 ，價格不太算平民。

衛生： 偏差， 附送的紅茶雖然是贈送的，但未開封的情況下，能明顯看到雜質在裡面漂。"
Shan Shan,2,菜色永遠都ㄧ樣 沒有為學生健康著想
Hsieh Jessica,5,滷雞腿🍗飯，雞腿滷到入味軟嫩，入口即骨肉分離，$100元還附大杯茶飲，CP值超高。
Christine Chou,5,滷雞腿吃了十幾年還是一樣好吃 價錢過了這麼久只漲價10元 值得推薦！
Frank Chen,5,懷念的學生時代名店！雖然換人經營之後，少了老闆娘用麥克風對內場點單的聲音，現在的口味倒是跟以前相去不遠，甚至配菜完全沒有改變。上菜速度一樣神速、還有紅茶可以解膩，練完球之後最適合來這裡吃飯了。
Benzai Kariya Ch. 剎太シャッテン,5,"算是從小吃到大的店家

對學生很親切的餐廳
百元以內就能吃的很飽很飽
很推他們的泰式雞塊飯
每次來都點
飯都會附當季青菜 豆干 荷包蛋
飲料量給的不手軟 非常大方
單點的大杯更是讓我差點喝不完😮😮😴

老闆跟店員們都非常親切和善
店內有很多大學生們辦活動的海報
有時候看一看也可以知道大學生們在幹嘛

適合在這裡跟三五好友聚聚吃飯又不用花太多錢
記得他們禮拜日公休哦
平日則是11點開門

聊的太開心了照片沒有拍到
下次光顧再補拍😊😊😊"
L ZW,1,"大家能猜出這是什麼品種的蟲嗎？

有頭、有眼睛、有翅膀
老闆娘說，給換一份菜

我心想，難道不是同一個流程，同一個鍋子裡煮出來的嗎？

這好歹還煮熟了⋯"
Chou-Hang Chen,5,餐點OK，點餐附大杯飲料，選擇很多。
魏柏宣,5,黑胡椒牛柳飯味道很棒，還有附紅茶～
元元,5,懷念以前的老闆娘~~換人經營，漲價90到100，重要的是口味依舊經典，偶爾還是會回來品味大學時代的好味道！
Yun Vari,5,配上泰式醬汁很夠味，淋飯的醬稍鹹以外整體還不錯，會有飽足感，附有紅茶一杯
Nick Chen,4,許多台大學生的回憶，不是特別美味的餐點，但多年來都保持一貫的味道，價格不高，出餐速度相當快。
H Y,5,座位流動率高，服務態度也不錯。裝潢懷舊，餐點擺盤也很令人懷念☺️蠻好吃的，有經過會想再回訪～
艾佐瑞,4,價格還不錯，口味還可以
陳俊佑,4,"先上菜單最實際，這次點的是泰式雞塊飯，沒有出現上面評論所說的菜冷狀況，可能是在正常時段前往用餐所以是熱的

炒青菜就是把套餐裡的青菜裝出來自成一碗，個人覺得CP值不大好"
王佳祺,5,正宗台大學生料理。這裡吃的不是口味，是情懷。必吃滷雞腿飯！
歪歪踢,4,外送便當一律100元付一杯紅茶，香菇雞，泰式雞塊口味都不錯。
Neil Lin,3,"菜色普普沒有到很驚訝的感覺
珍珠紅茶+魯雞腿飯105元
雞腿魯得很軟爛
但醬汁味道有點把雞腿的美味蓋過去了
整體來說普通"
shih석yachih아지,4,雖然大學時代的份量已一去不復返，但以現在的物價來說，還是cp值挺高的店。
cinsec tsai,4,餐點內容CP值頗高，地點也方便
邱郁珽,4,"台大人應該沒人不知道這間吧，初號店七里亭
隨餐付紅茶，配菜固定
就是穩定的滋味，推雞腿、雞塊"
Jason Tsai,4,"上菜速度快, 還附一杯不小的飲料, 相對附近餐廳也算是平價, 想要快速解決一餐是個好選擇"
Timothy Yeh,4,好吃出餐速度超快的簡餐店，餐點和飲料選擇多樣，店員服務蠻親切且店內空間環境也很舒適
陳柏臻,3,雞腿飯這個醬有點可怕，鹹出新境界，算是吃個粗飽吧，上餐挺快的還有飲料，窮學生可以來吃。
Caleb Huang,1,這種顏色的炸雞，應該不用解釋什麼吧
鄧雅文,5,到台大必吃！餐點加飲料只要百元
gogo loveat,3,泰式雞塊飯100，雞塊不硬但偏乾，沾了泰式醬後還可以，配菜口味淡，附上三根乾而不脆的地瓜薯條，有顆荷包蛋，蛋下的醬汁很不錯，有免費送一杯味道偏淡的紅茶，環境與服務尚佳。
信勝利,5,"滷雞腿飯,泰式雞塊飯，好好吃，紅茶也很好喝，價格很親民。服務人員也很親切。適合一群人在此 聚會"
R,4,"100$的滷雞腿飯+紅茶經濟實惠，醬汁太鹹了我都請店家用小碟子另外附給我，紅茶還不錯喝，餐點配菜真的不是很好吃⋯⋯高麗菜不好吃，煎蛋也不優，滷豆乾還ok,但是份量充足可以吃很飽，算是不錯的平價小吃，最近比較少來吃因為滷雞腿越來越沒入味，變不好吃了⋯⋯
今天跟男友嚐鮮一下，點了炸雞排飯跟紅燒肉腩飯吃吃看，炸雞排肉大塊又厚鮮嫩胡椒鹽也撒的恰到好處，意外的不錯👍倒是紅燒牛腩飯，有一股調理包的味道，牛肉很少而且柴柴硬硬的，cp值滿低的口味欠佳以後不會再點，炸雞排值得推薦一下！"
Chia-Hsien Ho,4,"很像以前的泡沫紅茶簡餐店，尤其奶茶的味道更是讓人懷念，這裏還有現在手搖飲店幾乎喝不太到的胚芽奶茶！
不過個人還是最愛瑞安街的七里亭的菜單和口味，這間的配菜感覺有些單調。"
Pony,5,大學時代最懷念的一家餐廳，現滷雞腿飯必點，甜甜的滷汁淋在滷得油亮的雞腿上，小食量的我居然可以整盤吃光光，再配上一杯贈送的飲料，絕對是一大享受！即便畢業多年，生活圈也不在公館，還是時不時要回去吃一下！
HCA 1208,3,"泰式雞塊飯不錯吃（附紅茶）
但廚房衛生 有待加強⋯"
吳諺,2,100塊真的對一個便當來說貴了點，菜量不足不說，喜歡重口味的可以嘗試。
忻聖瑀,3,"日式燒肉飯，燒肉偏甜，有很多莫名的勾芡。
白飯多，青菜偏少。"
ckshangel,5,副餐飲料可選無糖加分，魷魚份量也夠，便宜的超值午餐，很推薦。
kensun cheng,3,運動完流汗後，就會過來順便用餐，有一定的水準且飲料止渴好喝！
Ling Wei,2,"週一晚上在這裡吃滷雞腿，結果在高麗菜中發現蟑螂
當時把店員叫來，她有點愣住傻眼，說：「要不要換一盤」
我覺得實在倒胃，不可能再吃了
於是走出去，我出去之前看了一下剛剛店員她的反應是去和廚房反應而不是安撫客人
覺得服務態度有點需要再加強
後來我回頭想要和他們理論，是否應該退費時，他們立刻退費但沒有一句抱歉或流露出歉意
覺得整個體驗不佳，覺得他們比較被動消極
基於衛生與服務態度考量，給2顆星，再也不敢去吃"
吳宗翰,1,"難吃! 難吃! 難吃!
非常難吃!
每一道菜都冷的 …
且份量少，CP值低…
這輩子不會再踏進這家店"
sky chu,4,"雞腿飯cp值爆高啊！
上菜速度很快，兵貴神速！"
paleomort,4,雞腿滷得很軟，好吃。
Sunny Shih,2,雞腿飯的肉沒有嚼勁 根本不是肉吧 醬也很不搭 牛腩飯還可以 但是這個價位我不太行 位置的關係所以這個價位已經算平價了 但是要再訪應該是不太可能了
林愷軒,4,"泰式雞塊飯100元 附紅茶
吃得很飽～這個價錢挺划算的"
Ngan Jan,4,"店內環境光亮
每個飯有送一杯紅茶
紅茶不會太甜 不錯
滷雞腿飯醬汁偏甜
泰式炸雞塊有附一個甜醬 還不錯
白飯不會太軟太爛 不錯
配菜就是普通的燙高麗菜"
Ethan Yang,5,好吃，不膩。
JY,5,價格划算，非常推薦！
林建輝,5,"吃起來很像料理包加熱倒出來的食物,高麗菜也是用水煮川燙的."
