author_name,rating,text
james wang,1,我是2/4晚上去看診，櫃台服務員很親切指引要填寫的表格，看診的醫生也非常仔細詢問傷口和症狀。但因為當晚診所無法提供照骨科X光片的服務，故醫生建議轉診至其他門診時間或其他骨科醫院，沒想到此時跟診的林秀如護理師開始不耐煩大聲回應醫生幹嘛安排我去禮拜一的晚間診，並且口氣很不悅地對我說我就是只能轉診至上行醫院！沒有平行醫院！並且雙手一攤要我當場直接拿手機查詢要轉診的醫院名稱！希望樂活診所可以提醒該名護理師服務態度，不要對病人和醫生表現出不耐煩的態度，讓人感到非常不舒服，謝謝。
Kevin Wang,5,復健老師人很好，自費物理治療專業 👍
E,3,"很不推薦禮拜五早上的家醫科吳醫生。扁桃腺發炎還說可以吃燒臘沒關係。而且態度根本只想你趕快走就對了。根本沒鳥你會不會好起來。

不過喔，我很推禮拜一的林神佑醫師! 是看得出來很多人也喜歡找他因為總有很多人排隊掛號(不像禮拜五的那個)。
林醫師都很用心治療病人還仔細檢查以及聽病人在說所在的症狀。既然已經到他午餐時間 他也沒表現不耐煩，可能因為看我很可憐就講了很多意見(真心擔心病人)。非常感恩林醫師!"
小哥,4,人來很多
vicky LEE,5,吳醫師很有耐心，醫術高明
Yitsai Lee,5,由於滑鼠肘導致右手很不舒服，來治療後，整個改善很多！
Neil,5,樓上的物理治療師非常有耐心的講解狀況，尤其是曜庭老師，很細心的解釋跟衛教回家該注意什麼及關心每次的狀況，大推！
星見健康管理團隊,5,"星見物理治療師團隊，持續於師大樂活診所3F為大家服務！！
有一般電療復健、以及自費物理治療項目。"
小穎周,5,物理治療師莊老師說明清楚易懂，用心且專業～推薦！
蕭繼宇,1,"護士親切但醫生實在不行！
我穿了2件衣服 外加1件外套，聽診時醫生直接聽，前後點了一下（沒錯就跟蜻蜓點水一樣），然後直接在電腦上呼吸正常（這樣真的聽的到？連外套都不用脫？）
我主訴說鼻子痛，有過敏但這次不太一樣,結果醫生都不用看鼻子就可以診斷耶！
我問說不用看就知道是什麼原因喔？
醫生說 喔要看也行啊 都一樣！
我說不用，醫生還拉著我的手要看，拉到連旁邊的護士都委婉的跟醫生說病人說不需要了。
因為在師大校區內，我特別問說是不是校醫，櫃檯回答不是，我才確定掛號。
結果品質比校醫還隨便。"
Ashley,5,家醫科林家慧醫生很溫柔，看診也仔細、有耐心，是個好醫生。
魏良璟,5,物理治療師莊老師很專業又親切，對於症狀解釋非常詳細！
Rex H.,1,"等超久！！
平均20至30分鐘才看一位病人
傻眼～～

等不及就直接退掛！"
Josephine Chou,3,醫生不解釋病情，協助了解病因，提供建議，從頭到尾一直質疑病人，咄咄逼人，最糟糕的就醫經驗。門診護士親切。
Anderson Yang,1,"復健科的林智佳醫生一付愛看不看的樣子,態度實在有夠差"
Naiyu Chen,5,物理治療莊曜庭老師很細心溫柔 讚讚！
程振愷,1,態度不錯但等超久照一個x光等到腳都要好了
Ming-hui Tsai,5,三樓復建科莊曜庭物理治療師，治療用心
Yuni C,1,問好了要報保險理賠。做自費。要醫生診斷證明書。這家說可，我才去做。結果現在要他開證明，他543拒絕。聽說以前願意，但現在突然不開了。什麼復健科是外包，不是樂活的，這啥理由?我說 是 你說 有開 我才來做的。結果要我等電話，他們開會討論。蛤?啥?只是一張診斷證明要這樣刁難我?等幾天了也沒來電，想一直拖。那我找媒體記者投訴，請記者查樂活到底為何，不敢開證書?是有啥貓膩
周昭如,5,物理治療師細心又專業❤️
SunDews Sun,1,態度高傲、挖人隱私、不知尊重
Chiao Chen,5,"復健科林逸君醫師很親切，
專業的說明讓人放心～"
singyi fung,5,顏老師 專業筋膜放鬆
John Hsieh,1,爛爆，瞎等一個多小時
The Shutter Presser Kyle,5,物理治療師非常有耐心
Cindy Hsu,2,"覺得有草草帶過的感覺, 一直到看完醫生也沒說甚麼症狀, 服用的藥效也不好, 多痛苦了一天就去別家看了.."
MK C,1,"覺得很鳥的排號診所
打針技術超爛"
燕子Tsai,1,"看診超慢 看一診20分鐘30分鐘以上
急病慎入"
simon wu,1,"看診很慢，急病不要來這裡，等到崩潰。
還要敲門催，醫生才要看。"
Lo-chu Chen (Judy),2,營業時間可能要更改一下，中午有休息2點才看診請標明出來
samina Chen,5,醫生很細心詢問病情，護士也很和藹
布呱呱,4,"家醫科老醫生親切有耐心，願意聽患者的症狀及解釋可能的狀況，和開藥的療效與副作用等等，藥種類不多但非常有效。是很有經驗的好醫生。

唯一待改善的是，櫃檯護理師常集結聊天嬉鬧，對於掛號和領藥單的患者態度臭臉冷淡，但一轉頭又是嘻嘻哈哈，讓人觀感不佳。"
YJ Lai,1,無預警取消所有兒童復健課程，讓所有家長措手不及，來不及及時安排銜接小孩的訓練課程，因為所有的兒童復健課程都要排很久才能正式上課，無預警取消真的非常惡劣!!
Chin wei Chen,1,"下午一點多掛號，號碼13蠻前面的
沒想到醫生看診到3號就沒有再叫號
等了一個多小時，頭暈又頭痛，索性退掛"
Ill B,3,中午12點不到眼科部的人就已經便當吃一半了 在這上班真爽
Stacy Peng,1,"多問了幾個問題 就被不耐煩對待
我身體已經不舒服了 還要看人臉色
本來只是身體不舒服看完後連心理都不舒服了"
Sun Marko,1,設備和環境好是ㄧ回事，但我今天看骨科，醫生也沒仔細聽說明，草草開個消炎藥給我吃，害我晚上又找別家看，感覺很不好。
林約翰,5,"看病順便量體重及血壓、心跳
，還可以看報，醫療人員都很
親切，還有義工人員。"
