author_name,rating,text
Cynthia,2,從小吃到大，每次都買芋泥捲，這次心血來潮改嘗試瑞士巧卷（巧克力捲），只能說這是目前這輩子吃過奶油塗的最薄最少，如薄紗般的奶油，剖面看，奶油的比例細如線，雖然蛋糕體還算濕潤，但少了奶油，整體口感較乾，也比較噎，家人普遍不喜，個人推薦還是買招牌芋泥捲比較好
Eva Tsung,4,"口味上來說偏甜，但是芋泥真的滿好吃的~
小提醒 : 裡面只有內附塑膠刀，剩下可能得先自己詢問"
Sui,4,滿滿芋泥內餡，綿密不甜膩，老字號就是好吃
Jason Wu,4,芋頭蛋糕很好吃，绵密。芋頭霜淇淋也不錯。大捲480元。小捲320元。
mi mi,3,"芋泥蛋糕卷
印象中的香帥很好吃，有不小塊的芋頭顆粒，但是今天吃到覺得和以往不太相同😯沒有什麼顆粒感，也許是我記錯了😅
另外一款紅豆冰磚也覺得還好🥺"
黃金海,4,雙層芋泥蛋糕口感很棒，回購幾次了
IG:Sekainomys Mys旅人誌,5,"🔸️芋泥燒布丁
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
#芋泥燒布丁
這次香帥蛋糕推出了秋冬限定的芋泥
口感綿密的芋泥與布丁搭配很妙
整體味道天然不甜膩
而且主打使用鮮乳坊的牛乳🍶
加上嚴選優質雞蛋與天然香草莢
布丁吃起來味道香濃滑順💯"
Travel eat (steven),1,天哪～網上看巧克力布朗尼拍的真美，想說芋頭是招牌吃過了，來換換口味，買了當下小姐說冷凍請我等退15～20分鐘再吃，我心就大概冷了，因為先前廠商也是做蛋糕的，告知這種製作方式的蛋糕，基本上都是銷售不佳或訂購量少，冷凍控制，口感跟現作是有差的，確實親自嘗試過味道口感吃起來下場都是非常不佳。原來不是當日做的，也不好意思說不要，心裡只好給它機會試試想法安撫自己，帶去朋友家分享，還多等了1小時才切，希望口感鬆軟一點，切下去就大概知道冰很久了，口感～懂的～一句無言～重點6個人吃，大家都沒 …
台北仔lee再富 李,1,價格漲的離譜3百多的芋卷漲到4百2，問購物否有折扣？攋攋的回覆我要什麼卡，還分銀行是那家？服務態度(*) 本來要購兩條，硬生生要840元，只好購一條，帶回家拆開只附白塑膠刀一支，卻沒附紙盤子，購物讓人一肚子火，吃到的以前好吃好香的芋頭原來口味也變了，色澤與芋醬也跟以前不一樣，好陌生的口味，怪哉呢？果然是 ( 香 ) 帥呆了！
Yun LIU,1,"因為家中長輩愛吃，多年來在店面跟網路買過很多次。
但這次在店面買的芋頭捲第二天就發酸了......而且還是大條的囧
我從店面拿了不到半小時就冰進冰箱，第二天拿出來要吃就發現酸掉了。
明明離保存期限還有好幾天......以後大概不會再考慮這家了。"
王淑惠,5,芋頭蛋糕綿密香醇，芋頭品質很好，吃得到芋頭又香又軟，感覺口中有芋頭的小宇宙爆發，芋頭控的最愛
郭淑娟,4,最愛芋泥蛋糕，料紮實口感綿密，香氣濃厚又甜而不膩，真的好吃
vivi,5,香帥蛋糕最有名的就是他們家的芋頭蛋糕，蛋糕體的外表很樸實，但吃起來卻非常的札實，拿在手上份量十足，重量很重，芋頭內餡吃起來不會很甜膩，芋頭味很香，口感細膩軟綿，真的會讓不喜歡芋頭的人也可以滿足的吃上一大塊，蛋糕有分芋泥卷跟雙層芋泥蛋糕，也有大小條之分，芋泥卷跟雙層芋泥蛋糕的差別，在於芋泥餡和蛋糕體的比例不一樣，所以喜歡吃芋頭的可以吃芋泥卷，裡面的芋泥餡料真的很多，還可以吃到一些細細的芋頭顆粒，相對的因爲芋泥內餡比較多，所以芋泥卷的價位會比較高一點，除了招牌芋泥卷，還有販售其他 …
Yu Hs,5,芋泥蛋糕很綿密、餡料飽滿不會過甜～
張方君,5,芋泥蛋糕一樣那麼棒、店員很親切介紹
魯夫結論哥,4,"2018.09.23
這家最有名就是芋泥蛋糕，算是芋泥屆有名的蛋糕店，今天買了850g的 芋泥捲（$360），店裡面的環境很乾淨舒適，店員也都蠻親切的，如果要吃看看味道也有試吃，覺得可做先嚐嚐再買，很貼心。"
enttaiwan,1,今天晚上買黑森林巧克力蛋糕，一整個乾巴巴，像已經放好幾天。打電話跟店員反應，居然說他們蛋糕是急速冷凍，所以會乾。這是外星人的回答嗎？
步芝明,5,"1090210週一購買：
1.有事情來臺北，順道購買，希望有機會再來購買，唉~~
2.買了雙層芋泥蛋糕250元，芋香捲心蛋糕360元，包裝精緻優雅。
3.濃濃的芋頭香味，比較像芋仔冰的黏稠感，好吃。"
Augus Chen,5,芋泥道地味道濃、蛋糕體綿密紮實，咖啡核桃也很好吃，店員很客氣，店家不時有優惠(特價、送折抵券或送保溫袋)，每次去剛好都有活動 😁。
CMT猛婷,5,"✔️芋泥燒布丁 $90/罐$360/盒
布丁紮實帶點綿密，雞蛋味略為明顯，上面的芋泥很香，而且補足了布丁水份偏少的部分，讓整體口感濕潤度剛好，甜而不膩大人小孩都會喜歡🍮（保存方式：冷藏三天）
✔️芋冰磚切片禮盒 $40/塊$160/盒
🔍Instagram搜尋：cmtfood"
cm wo,2,芋泥蛋糕太甜了，吃完嘴裡都是甜膩味，吃多對健康不好。曾反應建議過，她們的回答是，做甜一點比較不容易壞。但只要冷藏凍做的好，怎麼會餿壞呢！
Singer 蕭,5,「芋香卷心蛋糕(芋泥卷)」芋泥內陷料多札實，味道與口感均屬上乘，是芋泥控的最愛。這些年來吃過許多芋泥卷，這家依然是心中芋泥卷首選。
陳希傑,4,"#台北市中正區
#香帥蛋糕
#營業9：00-22：00
#羅斯福路三段96號
很厲害的芋頭泥蛋糕
我還買紅豆的
料也很扎實"
S IU,5,遷址後週日也營業，且可使用信用卡，購買更加方便。如果是自用而非送禮，切片包裝販售的NG芋泥蛋糕最經濟實惠，但保存期間短，必須當日食用。
高先生,5,經典芋頭蛋糕內餡非常的紮實口感甜味很好
Chou Dino,5,真材實料的芋頭蛋糕，喜歡吃芋頭的真心推薦。
tammy CHENG,5,老字號的芋頭蛋糕專賣店，在許多地方都有分店，品質控制很好😊👍🏻
鵬小廚,1,"門市人員不太會做生意，蛋糕蠟燭只有問號，盤子需要加購，保冰也需要加購。
也不會想想辦法解決顧客的問題
好的食物最後都會被人員的態度給遺忘"
