author_name,rating,text
沈忻誼,5,"便宜又好吃

提拉米蘇是我的最愛，一片才$25，想吃甜食又不想花大錢時的最佳選擇

餅皮有點鹹甜鹹甜的，還有少許砂糖粒，很好吃"
哈披,5,"好吃程度：★★★★★
價位親民：★★★★★
服務態度：★★★★★
衛生環境：★★★★★
適合聚餐：★★★★☆
發跡於花蓮，物美價廉、CP值極高的連鎖蛋糕店。蛋糕單片落在25~35之間，整個買更划算。內用低消50元，約莫兩塊蛋糕。

黑岩優格乳酪蛋糕/30元
好吃★★★★★
個人最喜歡的蛋糕。底層是巧克力餅乾，上層則是巧克力碎塊，有種奧利奧搭上乳酪的感覺。

蜂蜜檸檬生乳酪塔/30元
好吃★★★★★ …"
Lin Carolin,4,"1. 位置：捷運科技大樓站下車步行約3～5分鐘。
2. 環境：有高腳椅和一般靠背的椅子（約10個座位左右），自助取餐收桌，
不限時，不可訂位。
3. 餐點心得：切片蛋糕60元以內有找，個人比較推薦的是招牌『提拉米
蘇』，尤其是買整顆蛋糕回家吃，口感特好吃，由於是店家冷凍拿出來
的，吃起來像極了冰淇淋蛋糕，底部的餅乾酥酥的非常讚！而且價位便
宜，整顆蛋糕只要$240（直徑19公分+-1公分），在台北真的很難得
吃得到這個價格了。
此外，個人覺得『布朗尼蛋糕』也是不錯的選擇，大小差不多兩三口可以
吃完，巧克力味道很濃郁，內餡還包有酥脆的巧克力餅乾，很特別，但稍
嫌甜了些，不過配無糖的茶或咖啡非常適合！"
汪冠洲,4,提拉米蘇好吃，疫情期間內用暫停，營業至20點，立馬降鐵捲門，一分鐘也不會等喔！
OhYaOhNoOhYaOhNo,3,"營業時間改11：00
google商家也要修改啊
貼在鐵門上
難道要客人開天眼？"
Jo Chang,5,"有座位區真的是舒服！一貫平價好吃，我很喜歡的好地方。
\(-ㅂ-)/ ♥ ♥ ♥"
Shen琳,5,檸檬生乳酪塔吃起來很爽口適合，藍莓乳酪塔不酸不甜的恰到好處，非常優秀。
CHEN COCO,3,"切片蛋糕體積偏小尺寸⋯感覺上店家應該是希望客人買的是一整顆而非切片蛋糕吧XD
與前幾年買的時候感覺有不太一樣了。
個人觀感吧XD
口味上算是好吃的^^
若是體積再增加1/3，其實這個切片蛋糕價格就真的很有競爭力了。"
林婕熙,5,蛋糕平價又好吃，會一直回購的好店！
IOM shoe,4,平日 來買，等待時間快，蛋糕吃起來 甜度剛好 爽口不油膩，新鮮不錯著。
小婦奢買愛蜜粒Amily.,5,黑森林跟藍莓乳酪塔其實也很好吃，被主打的提拉米蘇耽誤了，蛋糕價格比平價更平價。
夜亞,4,"簡單來說就是相對平價、CP值高的蛋糕店。
平時想吃蛋糕又嫌貴就會來這買。

提拉米蘇 240/盒，很常吃的口味，不知道吃什麼就點他。

芋泥鮮乳捲 250/盒，味道不錯，奶香味很高，我很喜歡。

鮮奶泡芙，我喜歡硬硬的時候吃，內餡會像冰淇淋。

黑岩優格乳酪蛋糕，對於不愛吃巧克力蛋糕的我，這蛋糕也能接受。吃起來很像在吃冰炫風。

重乳酪蛋糕，乳酪味道很重，單吃一片就很難吃得下第二片。蛋糕稍嫌乾，需要搭配水。

紅豆乳酪塔，我蠻喜歡乳酪塔的派皮，搭配紅豆還不錯，不會太膩。"
李黏黏,5,各種口味好吃蛋糕，有優惠。沒買蛋糕，可以借廁所，要問！
愛黑天使,3,希望塑膠叉子可以改鐵製叉子~常遇到剛從冷凍室拿出來沒完全解凍)的蛋糕因為塑膠製的叉子的關係 ~一插蛋糕就斷~連換了三支都一樣~最後等了半小時才能享用！
LIN CATHY,1,店員素質有待加強，收銀找錢一團亂，還要客人算給她聽，好像我們想白吃那個25塊錢的提拉米蘇，台北市很多提拉米蘇店面，並不是只有你這家
王亭蓁,1,在布朗尼裡吃到長約0.7公分的不明物體（圖片不太雅觀先不放上來）
邱小白,5,"蛋糕很好吃，也有提供內用
若是要宅配也有跟黑貓做合作，很棒"
小島楓,5,好吃又便宜的蛋糕！8吋好滿足！😋
Amy Chen,1,東西是不錯，不過服務人員素質有待加強，帶小朋友等到前面那組客人終於買好，結果明明有兩個人，都裝沒看到（一個喝了飲料往裡面走，一個拿掃把在掃地完全沒有要服務客人點餐）真的很無言，乾脆不買，蛋糕以為只有你們在賣嗎？
Eeyore Chen,4,提拉米蘇很值得買，價格很便宜也好吃，但其他的高點口味就一般，就最推薦提拉米蘇～
李桂嫻,4,"停車不方便
要冒著被開單的危險買甜點"
鄭育清,4,"提拉米蘇是招牌，還不錯。
蛋糕系列屬經濟實惠型
但其中紅豆天使蛋糕則不推薦...CP值很低，口感也不好。"
吃吃,4,"價格便宜，cp值高。
黑岩優格好吃，中間的蛋糕有點像重乳酪加優格的感覺，但巧克力餅乾有點潮濕，吃起來軟軟的；抹茶紅豆麻糬的蛋糕體吃起來比較粗糙，口味覺得普；提拉米酥很好吃，但不知是冰箱強度不足還是其他原因，吃起來比較軟，奶油感很重會感覺比較膩，相較下在其他分店吃起來的口感好一些。"
