author_name,rating,text
賴怡均,4,"咖哩羊和咖哩雞味道不錯，而且有些辣辣的> < 餅皮真的很有嚼勁，喜歡～（不過還是因人而異喔）
咖哩羊的羊肉味很重但肉少少蔥多，相較之下雞肉就多很多～
兩個都是50元呦！"
chou apple,3,共有四種計牛肉、豬肉、咖哩羊肉、咖哩雞肉口味，外帶不知何時已自烤爐取出的牛肉、豬肉胡椒餅，摸到紙袋完全不燙心感不妙，試吃後兩種口味也普通，不是涼了也好吃的款式
郭玉婷,2,以胡椒餅來說，一個45元覺得沒有該有的價值，皮偏後也不太好咬，我今天點的是豬肉口味，覺得調味料的鹹甜沒能混合味道重的壓過蔥味，豬肉有大有小有肥有瘦不一致會覺得不是太好的肉，面前可以填飽肚子，但是不會讓人懷念。
Ou G,3,很大顆，皮硬不好入口
INGRID HUANG,1,肉都是筋不好吃 皮又很厚 真的不好吃 名過於實 1顆50太貴 不會再買
Cheng Yuan Wang,1,沒貼標價 50塊 涼的胡椒餅 超難吃
seven Chen,3,內餡鹹香，外殼酥脆偏乾。
煮持人,2,皮厚不酥，烤不夠透，咖哩過甜。
潘奐鴒,3,中規中矩，身在台北就是不得不那麼貴
Andy Hung,3,2016-11 點豬肉、咖哩雞肉，皮有碳焦味，底部脆硬
juhischey,1,依牛肉口味來說不值得50元的胡椒餅價格，皮厚又不香不酥，牛肉餡不多且酸菜的味道蓋過牛肉與胡椒味，讓人家匪夷所思到底是在吃胡椒餅還是在吃酸菜包?
tedChoice Lai,3,味道還不錯。
劉弈玫,1,老闆娘態度很糟
林廉峻,2,餅厚而沒口感，內餡感覺不新鮮，肉少蔥少，特別是擺起來賣冷掉更不好吃。
Jazz峰,2,一個45元至50元
Judy L.,5,豬肉的45$
陳英哲,5,臺大 師大 汀州的胡椒餅都好吃，氣溫低時陶瓷燒烤剛出爐咬一口還會冒水氣，羊肉胡椒餅我個人喜歡臺大的，它有嫩滑 不柴的好吃
Mify Hu,4,豬肉多又厚，餅皮微乾硬。
bourne0107,1,建議標價，然後皮真的硬的咬不動。
丁海天,1,老闆娘很兇很沒禮貌
蔡Jenny,4,前幾天點完馬上吃，比以前放冷了才吃好吃許多。外皮酥脆；內餡實在。不過50元一個有點貴。
Emily Cheng,3,"咖哩豬肉的口味不錯
但餅皮太厚
吃很久才吃到肉
肉的份量也不多
整體來說普通"
Wink Josh,3,品質很不穩定，有時會買的很乾很硬的
YAYUN TSAI,1,"超級難吃我的天啊，不燙口就算了甚至幾乎是冷的
皮根本咬不動，內餡又油又膩
難得遇到這種吃兩口就忍不住丟掉的大雷！！！
真想知道這間店是怎麼得以在師大商圈存活下來的"
E.P,3,還可以，但一個要50元，對我來說有點貴。
Circle Crop,2,口味偏甜，稍貴。豬肉45元，牛肉及羊肉及雞肉都是50元。
Joe Hsieh,3,口味不差，當作下午茶還不錯。
楊政憲,5,便宜又好吃，已經是第三代了！
tex Chang,2,不熱所以吃不出肉香味，50元一個就貴了
Hsu Chun Wei,1,"口感跟味道都不出色 我是個不挑食的人  很少會嫌東西難吃
BUT..."
李汪彧,1,皮又厚又硬，胡椒味不夠
Ivancy Yu,2,皮太厚，不是很熱，比公館店還差～
Steve Hsu,4,好吃，雖然不熱但咖哩羊蠻好吃的
Eco Chen,3,從前還在台大大學口的時候還不錯。自從搬到師大路就一年不如一年了。
曾雅,3,胡椒餅偏小，口味略甜，有肉汁不錯吃
Chuan Liao,2,皮太厚有點冷掉味道普通
Aang Chen,2,皮太厚了，沒什麼內餡，又很貴，饒河夜市的比較好吃，
Sheldon Chen,4,很多汁，皮有點硬，熱熱吃最好
Wang JiaLien,3,原味豬肉，普通，餅皮有點韌。
KAI-YUAN HSU,5,"台大對面巷子口的胡椒餅
會流汁，用料實在"
Heui-Ting Lin,4,有點貴，但還不錯吃的胡椒餅
Zhi Chin LU,1,不好吃.......又貴......
John Hsukarski,4,還ok
劉又銓,4,不錯吃但是小貴
JopheiY,3,比饒河夜市的胡椒餅濕，味道中上~
Wai Chan,5,其實D食物都好好味^^
HK H,1,拿去餵狗 狗都不吃吧⋯⋯
Meikou Lin,4,東西不錯吃
宗佑林,1,賣這麼貴而且沒有很好吃
鄧立潔,4,開了很久了，滿好吃的，只是餅皮稍硬
Ava Lai,1,吃一口就想丟掉
Bob Chen,4,好吃 有料的胡椒餅!!!
DoubleCool酷兩倍,3,普通，就是胡椒餅
Sheng-Dun Wang,2,口味還好
學用數學,4,一些貴
K.Y. Lin,1,價錢不透明
Alan Sha,4,咖哩雞
阿光,3,貴
Xin,4,師大大學口胡椒餅
Lindo Korchi - Content Creator,3,"(由 Google 提供翻譯) 受歡迎的商店以黑胡椒麵包而聞名。

(原始評論)
Popular shop known for their black pepper buns."
Benson Wang,3,"(由 Google 提供翻譯) 一般般

(原始評論)
一般般"
燕子,4,"(由 Google 提供翻譯) 口味多
好吃

(原始評論)
口味多
好吃"
phenpimol tantbirojn,1,"(由 Google 提供翻譯) 我第一次嘗試這個地方很不錯。但是這位女士第二次給我剩下的食物 - 包子很冷酷。更糟糕的是，第三次，包子肯定是剩下的，因為它的酸味，我實際上後來生病了。

(原始評論)
The first time I tried this place is nice. But the second time the lady gave me the leftover ones- the buns are cold and hard. Worse on my third time, the buns are definitely leftover as its sour and I actually fell sick afterwards."
Gene Shiau,3,"(由 Google 提供翻譯) 我喜歡新烤芝麻口袋的新鮮度，以及來自這個街角的經驗豐富的熟肉的香氣。但事實是，在我訪問的那天晚上口袋本身並不是非常芳香（儘管芝麻）和肉（我和我的家人品嚐了一些牛肉，豬肉，咖哩羊肉和咖哩雞肉）沒有留下任何難忘的味道。這更適合街頭美食體驗而非美食體驗。

(原始評論)
I liked the freshness of newly baked sesame pockets and the aroma of seasoned and cooked …"
Wei Wei,4,"(由 Google 提供翻譯) 打破傳胡椒餅有多種餡料牛羊雞咖哩可供選擇,外皮外脆內Q彈

(原始評論)
打破傳胡椒餅有多種餡料牛羊雞咖喱可供選擇,外皮外脆內Q彈"
信宏陳,4,"(由 Google 提供翻譯) 好吃哦

(原始評論)
好吃哦"
