author_name,rating,text
Jenny Sun,1,因為身體不適臨時取消體驗課，客服就叫我下次要先轉帳付費再預約😂第一次看到連體驗課程都要先付費的，且體驗費比一般課程換算下來還貴，租用墊子都要付40元，感覺是一家很斤斤計較的瑜珈館。
echodamien loho,2,"每個老師的課都上過，老師非常好，最大的優點是真的很合理的價格但制度不明確，買堂數的、預約補班都非常困難也沒有透明即時的決定過程，加上空間不大，上課如沙丁魚，一個小空間會擠進約15-16人。臉書訊息常常是時間勒索，如X分鐘就預約完了等，上個瑜珈課這樣高壓真是一點也不開心，就退出了。
Great teachers (been in class with everyone of them), yet lacks system, transparent process to book …"
陳亦婕,5,老師溫柔有耐心，上課內心平靜
Nancy Dai,5,"已經上了多年，老師講解明確，也會平均的幫每位同學調整動作，價格平實，有固定班和自助餐候補式兩種上課方式，亦有不同師資與課表選擇，初學跟進階的同學都很推薦，還有提供瑜伽墊租借跟瑜伽服飾免費借用～

推薦給大家！"
Shuwei Leander Liu,5,教師專業、有耐心，收費實惠，小班制教學讓老師可以幫學生調整資深，值得推薦的私人瑜伽教室
黃愛倫,4,"老師教得不錯，教室的氛圍磁場不錯，喜歡檀香、頌缽、和薰香的感覺~
但gentle課程時，人數太過滿教室空間就不夠了，建議人數控管一下。"
Sylvia Lo,5,"(由 Google 提供翻譯) 可愛的小瑜伽館，在附近。

(原始評論)
Lovely little yoga studio in the neighbourhood."
Anthony Dellavecchia,5,"(由 Google 提供翻譯) 台北最好的瑜伽老師。她還會說英語。

(原始評論)
Best yoga teacher in Taipei. She also speaks English."
莊凱西,5,
Hoting CHANG,5,
