author_name,rating,text
Aya H,4,環境不錯，餐點也很美味，但以價錢來說咖啡豆的品質不及格，喝起來像麥當勞之類的感覺
cosmo lee,5,來自法國的原物料，正統的法式甜點，多層次的口感，喜愛吃精緻甜點的朋友
りな,5,平日中午有四道菜150元，加150元可以得到烤雞的300元套餐。現打果汁每日不太一樣，奇異果汁、火龍果蘋果汁好喝。紅酒燉牛肉的牛肉丁燉的非常柔軟，入口極化，搭配燉牛肉的法國麵包則是外皮酥脆、內軟，非常好吃！
劉冠妤,3,"餐點的選擇偏少，而且容易有重複的料理
像我當天去就幾乎都是蛋料理。
口味蠻清淡的～若是點肉類的餐點，
等待時間會有些長"
Amos Hsu (德生),5,空間舒適沒有壓力，餐也好吃，甜點很有水準。
may eat,3,"清爽簡單，服務親切體貼的小店，調味不厚重，食物份量不很大，甜點好吃有層次感，價位中等，會為了甜點再來。

1.座位區在2樓，餐具飲水自取，現點現做，有些餐點須等待。

2.沙拉酸香開胃，香料小麵包鬆軟香好吃！
雞腿無骨，配菜調味適宜不油膩。

3.三明治的長棍達水準之上，但內夾食材少，小空虛（生菜份量+種類再多點？）。

4.檸檬塔塔皮不厚，夠酸不偏甜，有愛。"
靖christine kitty,4,環境舒適服務親切，招牌紅酒燉牛肉配上剛烤熱外酥脆內Q軟的法棍，真是perfect! 那牛肉軟香味美，入口即化，油醋沙拉搭配新鮮生菜，健康滿分，再來個飯後甜點檸檬塔，好幸福啊～～!
Janet Teng,5,"義大利麵很入味，好吃～湯跟麵包跟蛋糕也都很精緻美味！最重要的是價格比想像中可接受，約兩百多可解決一餐，且不收服務費。
好不容易公館又有一家值得期待的店了。"
吳豐豊,5,"一向不喜歡奶油味重的檸檬塔，不過嘗試了超大尺吋的檸檬塔後，卻意外的....心水!

原來店家使用Isigny奶油，這種奶油真的很神奇。我是不喝牛奶的人，每次聞到麵包店奶油味、自家烤餅乾烤箱的奶油味也都會噁。沒想到第一次因為奶油欣賞檸檬塔。

外宿空間小懶得切了....皮太薄塔會垮，所以外層塔皮稍厚。

冷藏後冰涼滑順的口感是最棒的! 酸香足、配上溫帶草原的奶油......😎"
湯敏,4,"店員親切～
外帶的餐點大約要等10分鐘左右。
有奶油味的蔬菜好吃，底下的白飯不知道為啥一半都硬掉黏在一塊"
Alice Yeh,4,"點了下午茶套餐組
歌覺得劇院蛋糕有點太硬，風味沒有想像中好
粉色珠寶盒味道很有層次，酸甜好吃
餅乾很香很酥脆
點了一份義大利麵口味不錯
飲料中規中矩"
cyun hao Huang,5,"裝潢感覺高級舒適，紅酒牛肉燉得軟嫩，雞腿排也份量十足，餐後甜點大推手工提拉米蘇，咖啡味很濃郁，吃起來鬆軟，水份較多，份量比起一般下午茶店大了有一倍，整個套餐吃完非常飽足。
非常建議悠閒的時候跟友人來慢慢享受~"
自由國度,5,令人驚豔好吃的甜點，舒適的用餐環境。
