author_name,rating,text
黃韋韜,1,來這間7-11連續寄了四次冷凍都跟我說沒空間，我想說老闆你出來開店服務只做半套也太扯了吧！而且每次遇到的店員都很不耐煩，我給個建議也要回嘴，真的是齁⋯過條馬路的7-11雖然遠一點，但是店員的服務態度真的是沒話說
汪冠洲,4,服務親切，節日擺設用心。
vivi lee,3,今天下午三點多我去用隨時取領咖啡 我說我要大熱拿換大冰拿 另外還買了兩樣東西 到櫃檯給王姓晚班店員結帳時給店員刷條碼 店員說妳這就是大冰拿啊 妳這樣會造成……感覺是說造成她的麻煩 我還說不好意思 (我自己本身也是做小七) 我覺得沒有必要講這樣的話 取消掉重新再按不就好了嗎 這讓我感覺很差 我又不是故意要講錯 而且在進去之前已經看到超過三個人在排隊了 為何沒有按鈴請另一個夥伴出來結帳  這是小七的服務嗎？
黃美芳,5,"服務態度超好，店員很親切，問題耐心回答，店家附近老人家多，店長還會記得常去的老人每天固定買什麼和提醒記得吃早餐
Ps:去買東西時都會遇到👏👏👏👍👍👍"
李采澐,5,"這是我家樓下的小七，我最愛的7-11，每次進門就是親切的問候
尤其是店長，總會親切的說：姐，有妳的包裹
姐，美式有特價喔！
姐，氣泡水到貨了唷…………
這是我家的小七

我最愛的7-11"
全國加油站林珊如,5,有活動都會提醒，服務態度良好，不是針對某個服務人員，每次去都碰到不同人員服務態度都很好。領點數兌換的飲料也是有良好的服務。
dailun,5,這間店沒有王姓晚班店員吧😅樓下的評論是不是留錯門市了🤔
Tina lin,1,店員超沒禮貌，對待回收阿伯超不耐煩。傻眼
許厚德,5,"很少有門市人員這麼親切
是一家很棒的7-11👍👍👍"
林春紅,5,服務人員非常親切，晚上吃宵夜的好地方
Thomas Yeh,4,"剛才看到網友對於這家店的評論，幾乎全是好的，尤其是對店員的服務態度而言，就我看到無數網友對於便利商店店員的評語而言，這是異數，因為根據人性，每天得應付那麼多的客人，而且客人中不乏態度不是很好的，我自己覺得，偶爾店員擺擺臉色，情有可原。

從這家店，沿著樂業街往南走，會到嘉興公園，那邊還有一家很大的全聯，記得在年初吧，我曾經坐捷運，在麟光站下車，一路往西北走，到了嘉興公園之後，就沒繼續前進，當時還想，繼續走的話，不曉得會到哪裡，如今我知道會到哪裡了。 …"
TOM LEE,5,換店長和經營者後為之一亮。
tien-wei lee,5,每位店員都很和藹可親唷！👍
金蛋頭,5,店員親切很棒，是個很值得推薦的7－11
L EE,5,店員服務超好👍🏽👍🏽👍🏽
洪洪,1,今天早上去買咖啡，看見店員竟然是用拖把在擦冰箱，及店裡的周遭牆壁。看了有傻眼，真的有噁心，看來7-11衛生，真的有需要再加強
Y C,4,"換了加盟的樣子
新一批店長和店員很親切"
徐振傑,1,差勁的門市店長！9/24 2400準時等跳跳虎開賣，店長在場直接說不賣要保留給特定的客人！我想請問一下統一超商的店長都是這樣嗎？你們東西進貨不賣給一般客人只給認識的？你們自己內部留就好啦
Chang Callie,5,"店員很親切！
好喜歡這家！～❤️"
Felicia Lee,5,店員很友善，很值得稱讚!
miru9 YEN,5,店員親切友善~店面寬敞外觀設計質感佳!
許麗琴,5,服務親切
小鹿斑彼Nikkie,5,"彷彿置身五星飯店的
⭐️⭐️⭐️⭐️⭐️便利商店！
本來只是來影印的，
突然想到有新品洋芋片，
順手要買，結果店員超熱心服務，
然後⋯⋯就變成照片那樣！
歡喜甘願的買了好幾包🤣🤣🤣"
Justin Lu,5,店員人都很親切，尤其是大夜班的！
K H,5,"服務很好的門市
員工態度和善
大夜班也是如此"
Lo Yi-Hsuan,5,店員很親切♥️♥️
我沒名字,5,裝潢後更棒
ChungJen Chou,5,乾淨明亮又寬敞的超商。
huang Ron,5,"(由 Google 提供翻譯) 文員善良

(原始評論)
店員親切"
曾阿猴,5,
jean fu,5,
Grace Chen,5,
陳家嫻,5,
林家慶,5,
tina lai,5,
蕭偉倫,5,
J10206 12 羅晨禎,5,
黃耀舜,4,
許子薇,5,
diana Ku,5,
語荷,5,
