author_name,rating,text
Berryle Chen,5,老椪糖鮮奶茶半糖微冰喝起來還不錯，椪糖融化後鮮奶茶更濃郁，只是一杯60元有點小貴，店員蠻親切的，而且感覺他們感情蠻好的。
Coco Lin,4,"很有質感的一間店，小地方也很美麗，店員很親切回答關於飲品的問題～
椪糖鮮奶茶，半糖微冰，好喝，但真的好甜，可能因為平常都喝無糖的關係，真的很不習慣，但糖很香，可惜沒什麼茶味。
會想再回訪^^"
Chun-Ming Chang,2,"2021.02.24 = ★★☆☆☆
◉簡評：珍珠鮮奶茶，口感比較稀薄，粉圓過Q，不是我的菜。🤔
＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
吃完【壹之穴】，走到隔壁巷弄找飲料。路過【方最茗品】，看起來人氣很旺，又不是連鎖的，試試。

☑珍珠鮮奶茶(60元) = 杯子外觀...看起來很樸素，而且杯子感覺比較小??? …"
洪笛恩,5,之前來買過椪糖鮮奶茶（60），非常特別又好喝～～～
Pin Liu,5,"最常喝老椪糖鮮奶、鮮奶茶跟方最鮮奶茶
椪糖的味道有點想台式焦糖 個人很愛🤍🤍🤍
喝到怕自己會腎結石 咩噗
住在附近 基本上只會和這家飲料店
下次想是cheese系列"
諠,3,嗯⋯喝不出碰糖味，感覺就是普通的鮮奶茶，沒有特別好喝。
Wadirum,4,"若是開在住家/公司附近，應該會成為不時到訪的飲料店😆 ((還好都不是，飲料還是不要喝太多
假日外出覓食，無意間發現的文青飲料店，內部裝潢樸素，創業老闆群超年輕，還有很多獨創品項，是別家找不到的。
☑️椪糖鮮奶茶：椪糖是台南的名產，能將其加入鮮奶茶中，味道口感肯定不錯。一開始是對這杯很有興趣，但剛剛吃了有些油膩的炸物，奶茶就下次吧😅 …"
Joan Lai,1,"員林芭樂紅，毫無茶味。
珍珠鮮奶茶，珍珠口感過硬，鮮奶茶味無茶無奶味。
推薦給喜歡白開水的人。"
Donna Yeh,5,超好喝的奶蓋（芝士系列），很綿密也不會過甜或過鹹。也很喜歡椪糖系列～
Rachel Wang,4,老椪糖鮮奶茶加珍珠（半糖去冰，70元）喝起來像黑糖珍珠奶茶，椪糖薄脆。
mica Lin,5,"要排隊但是很快就拿到了👍
老椪糖鮮奶茶好喝～
芭樂綠茶普通"
州,5,"【金萱烏龍茶+奶蓋 55元】

超喜歡奶蓋(˶‾᷄ ⁻̫ ‾᷅˵)！烏龍本身還可以，和奶蓋還算搭配～

*更
新增椪糖珍珠鮮奶茶
椪糖口感很酷，喝起來有層次。"
JopheiY,3,老椪糖鮮奶茶的甜味很特別，是其他地方沒有喝過的滋味！最低糖度是半糖，對不太愛喝甜的人來說還是會有點負擔~
陳小黑,3,鮮奶茶還不錯順口 但是這個珍珠真的不行啊 太硬了
cherrybeer,5,"芭樂檸檬去冰微糖超級無敵好喝！！！
感謝ubereat讓我找到優質店家~~~"
林冠安,5,超好喝 鮮奶茶 雖然貴一點 但屌打其他家
Hsuan Ko,4,"老椪糖鮮奶茶味道特別
最少只能半糖或全糖
對我來說有點甜"
王亦真,5,心目中第一名的飲品！！天然又好喝，老闆很用心，超級推薦椪糖奶茶，還有芭樂綠茶！
Sognatrice Pigra,5,"飲料好喝 推薦老椪糖鮮奶茶🖤很特別好愛
喝完回家的路上 已經在約朋友下週再去了
btw有外送服務唷讚讚"
陳威佑,5,老椪糖系列真的很不錯，而且在台北真的不常見，相當值得推薦
侯松杰,1,"看到大家滿滿的好評 我卻滿滿的失望
+10$升級的大杯大概30ml而已？
手炒黑糖珍珠鮮奶 完全沒有黑糖味超淡
像是牛奶配沒什麼味道的珍珠 也不能調甜度
真的很沒味道"
Eunice,5,好店必須推！！碰糖鮮奶茶真的好～讚～！
葉瑋,5,椪糖鮮奶茶真的很特別，熱熱喝的冬天喝了覺得很幸福，但價位稍高⋯建議拿到後會儘快喝完，久放後可能因焦糖，而有小小的苦味，不過整體來說是讓人會想再訪的！
beca,3,知道店員很忙 但還是希望店家可以先出餐再點餐 內場不幫忙出餐是個問題 東西都放到溫度不對了才出很不ok
Jovier Chu,5,"老椪糖鮮奶茶半糖微冰最好喝
台北真的沒喝過這種味道的奶茶
是可以特地去買的好滋味"
Hsuan,1,芭樂檸檬真的很不行！！！我和朋友喝了都很困惑，很像有是微微芭樂味的檸檬水，超級淡又超級稀。因為不貴，我不期待像大苑子的芭樂檸檬那麼濃郁，但是這杯真的太難喝了！才想起來我在剛開的時候有買過芭樂紅茶，整杯也是淡到不行，芭樂味也非常非常淡。要有芭樂系列可以改進一下嗎？真的是很失敗的一次體驗。
Wei-Chen Lin,5,"溫柔的服務態度，好喝到無法形容的飲料，不用多說什麼，沒有不喜歡的理由。

特別推薦老碰糖鮮奶茶，作業碰上瓶頸、碰到雷隊友、感情發生問題，喝一杯都能治癒我的心情<3"
Vivi Hu,4,"兩次都是點碰糖鮮奶茶 （半糖少冰）
***第一次喝好驚艷 碰糖香氣濃郁。茶、奶比例也剛剛好 完全能凸顯碰糖的獨特味道，不搶味。便開始期待再訪。
***第二次喝卻好失望！ 一次買兩杯，喝起來都是茶、奶味壓過碰糖香，喝不出與一般鮮奶茶有何差異！
/////希望比例品質能夠更穩定～ 畢竟推薦給的身邊好多人 但是第二次喝完覺得好像推的太早了😅"
Xin Tseng,5,"美食IG：aa__foodie 歡迎追蹤🙆🏻‍♂️

▫️老椪糖鮮奶茶 $60
美味程度：🌕🌕🌕🌕🌗
味道非常的特別，有點黑糖、焦糖綜合的感覺
覺得是一款喝了會上癮的飲料🤣
個人感覺半糖還蠻剛好，不愛甜的話就微糖吧
-
▫️芝士鮮奶茶 $60
美味程度：🌕🌕🌕🌕🌗
上面那層芝士不是鹹鹹的那種
是很綿密像奶泡，與鮮奶茶同時入口非常順
不會負擔感很重，整個很愛～～
-
cp值 🌕🌕🌕🌕🌑
再 訪 🌕🌕🌕🌕🌕
環 境 🌕🌕🌕🌕🌗
服 務 🌕🌕🌕🌕🌗"
Sylvia Wu,5,很喜歡他們家的鮮奶茶，不同於一般用的紅茶，店家是用伯爵茶配上小農鮮奶，在冷冷溼溼的冬天來一杯，非常暖心。
Tsai Paul,5,"第一次喝老椪糖鮮奶茶，使用小農鮮奶，香香甜甜不膩口，超好喝😍

再訪喝了芭樂檸檬🥤，酸酸甜甜，真材實料的芭樂，一下子就喝完了😂"
陳信光,5,檸檬芭樂很好喝，喝的出現打的果肉顆粒，下班都會順路去買，用uber叫也是出蠻快的
Chi史東,5,"紅茶喝起來很特別
嘴巴會有澀澀的感覺
店家裝潢很文青"
Hank Chen,5,買了老闆推薦的老椪糖鮮奶茶，喝了以後驚為天人，鮮奶茶非常溫潤，會讓人一直喝個不停然後一下子就喝完了！老椪糖應該是整杯的靈魂，有點像是焦糖烤布蕾表面那層，我喝到最後有吃到一小片還沒完全融化的一片烤椪糖，另外因為是椪糖，即使甜度是半糖也不死甜。
paradise fish,1,芭樂檸檬很稀，不推薦
陳曦,5,在這附近工作 幾乎有來上班每天都會買 超級推薦！！芝士系列、檸檬芭樂
Kenyon (kenyon0619),5,"碰糖鮮奶茶
糖的味道很特別 有種魔力
茶底似乎是伯爵
半糖微冰剛好

方最鮮奶茶是伯爵底
我哥點半糖微冰 他很滿意
但我覺得有點小甜 下次試微糖"
De-Lien LAI,4,椪糖鮮奶茶好喝，椪糖焦香搭配醇厚的奶味很順口。不過在地鮮果系列就比較普通，甘蔗類味道滿淡的，芭樂類又有點過濃。
Yen Hui Chen,5,老椪糖鮮奶茶超好喝，店員態度親切，下次想喝芭樂紅！
ChiehChien Yu,1,珍珠鮮奶茶   珍珠很硬  茶很淡  水味重
潘怡君,5,老椪糖鮮奶茶好喝，半糖剛剛好，椪糖帶點焦香味，溫潤不甜膩，，天氣涼了點熱的喝大滿足
LJ,5,"推薦👍🏻老椪糖鮮奶茶👍🏻
味道真的是外面喝不到的好滋味
一次外帶好幾杯，喝好喝🈵️😋"
柔柔咖,4,哇喔，好漂亮的飲料店哦。
stephanie,5,買一杯推薦的碰糖鮮奶茶，驚為天人，打破以往對於鮮奶茶的味覺與口感，非常順口，味道很有層次😍😍後來再買了芭樂系列也是令人驚艷，能喝到芭樂泥，紅茶濃郁不苦澀，真的希望我家旁邊也能開一間🐤🐤🐤
Ariel Du,5,老椪糖鮮奶茶口感特別好喝，檸檬芭樂也好喝，很願意在回購的店!! 服務也很棒!! 謝謝
陳麗真,1,加珍珠沒給粗吸管真的折騰人！
邱萓萱,5,"烏龍很香很好喝👍🏻👍🏻👍🏻喝到期間限定的蜜桃烏龍很好喝，中杯完全不夠喝😂
鮮奶茶也很可以😍都無糖也好喝～
同事們一致好評🤩"
Lily Pan,2,店很漂亮、杯子也很美，老闆人很好，但是紅茶本身不太好喝...
李祐承,5,椪糖奶茶超讚！推～
Claire Lin,5,喝了兩次都是芭樂系列，超好喝！很清爽，珍珠也不會死甜，期待下次回購～
Raymond Wang,5,點了芭樂系列跟椪糖鮮奶回去給同事當下午茶，芭樂風味清爽好喝，椪糖鮮奶濃郁香醇，兩款都很推薦，下次再來試試芝士系列
shinyun yu,5,檸檬芭樂很好喝，酸酸甜甜是女生會喜歡的，也可以喝熱的。老椪糖系列半糖也不會太甜，帶有一些復古口味。招牌不太明顯，經過時要看一下，不要錯過了
Stanley Lin,5,有特色又好喝的飲料店！
游程瑋,5,老椪糖鮮奶茶讚！
蔡承臻,5,"芝士奶茶好喝~
店員態度很親切"
Ethan Liu,5,碰糖鮮奶茶微冰半糖好喝
楊舒晴,5,"椪糖鮮奶茶👍👍
店家很親切，飲料又好喝~~~推推"
張博凱,5,"主推的椪糖系列 還有水果和芝士系列都很好喝
芭樂的味道很濃 完全不會雷！"
Daniel Chang,5,椪糖系列很特別，會推薦給喜歡喝甜的人！
廖洛喬,5,目前沒有雷的飲料店！老椪糖、芭樂跟芝士系列都很強
黃怡綾,5,"老椪糖鮮奶茶好好喝！！
大推鮮奶茶！"
Lance Lee,1,紅茶 真的不推
Chen Cliff,5,老椪糖鮮奶茶超推！
KJ,5,"老椪糖珍珠鮮奶 極好喝
口味很特別"
Eddie Tsai,5,推椪糖鮮奶茶系列和芭樂系列，都好好喝
Justine Tsai,5,好美的椪糖鮮奶茶🧋
魏世豪,5,飲料好喝 用料實在！大推👍👍
egg chen,5,老椪糖鮮奶茶好喝👍
Claire Lin,5,老椪糖鮮奶茶超好喝
Wilson Wang,5,這凍飲太給力啦
周傑特,5,新開幕
周冠宇,5,碰糖鮮奶茶好讚🤤🤤
Salty Li,5,真的有點厲害欸。
陳彥廷,5,優質好喝 用料實在
施佑霖,5,好喝 不一樣的滋味
Chen Vincent,5,歐買尬不得了了
陳彥霖,5,好喝 喝起來就對了
姆姆,5,不錯
Wen Fa,5,讚
高貓貓,5,"個人特推👍
🥇老椪糖鮮奶茶🌟🌟🌟🌟🌟
茶香搭配上鮮奶，融合的剛剛好，再配上椪糖的焦香味，不衝突的甜感，不膩口。
🥈芭樂檸檬🌟🌟🌟🌟🌟
完全沒有像其他評論上講的不夠濃郁的問題，而且芭樂完全都是當天現打的,+上檸檬，完全非常適合夏季炎熱飲用，用❤️喝的出來沒有化學的味道，如果你崇尚品味芭樂最原始的味道，點這款一定沒錯👍👍

期待下次再入手其他的飲品❤️❤️"
楊18公分,5,"(由 Google 提供翻譯) 碰糖奶茶好喝

(原始評論)
碰糖奶茶好喝"
Will Huang,5,"(由 Google 提供翻譯) 感覺好，味道好！

(原始評論)
Good sence, great taste!"
Brandi Huang,5,"(由 Google 提供翻譯) 天然好滋味看得到喝得到

(原始評論)
天然好滋味看得到喝得到"
廖適期,5,"(由 Google 提供翻譯) 老椪糖系列好喝！

(原始評論)
老椪糖系列好喝！"
Go Dubs,5,"(由 Google 提供翻譯) 甲厚道羞跛哦

(原始評論)
甲厚道羞跛哦"
李先生,5,"(由 Google 提供翻譯) 草莓好喝！

(原始評論)
草莓好喝！"
龔芝瑩,5,"(由 Google 提供翻譯) 超好喝的啦喵咪！

(原始評論)
超好喝的啦喵咪！"
Eugene H,5,"(由 Google 提供翻譯) 鎮上最好的！

(原始評論)
The best in town!"
顏偉哲,5,"(由 Google 提供翻譯) 非常好喝！

(原始評論)
非常好喝！"
林阿桃,4,"(由 Google 提供翻譯) 可以

(原始評論)
可以"
Su Twinsen,5,"(由 Google 提供翻譯) 好喝

(原始評論)
好喝"
Ren Tang,5,"(由 Google 提供翻譯) 俺已升天

(原始評論)
俺已升天"
塔普羅,5,"(由 Google 提供翻譯) 猴腮雷

(原始評論)
猴腮雷"
陳顗寍,4,
高紹唐,5,
杜薇,5,
Ricky,5,
林瑞陽,5,
Jerry Su,4,
謝尚晉,5,
jane fan,5,
Hot girl mc,5,
徐智遠,5,
陳彥龍,5,
SHU JI Zhou,4,
Alice L,5,
EINNOB,5,
洪偉倫,5,
張泡泡,5,
邱威諭,5,
JC,5,
黃小量,5,
喜洋洋,5,
Jimmy Lin,5,
Jia-Fang,5,
