author_name,rating,text
Liz Ou,5,店員蔡小姐很親切又不會給人有壓力，專業又有耐心一一回答我的問題進而幫我找到完美的解決方法，行程規劃交給他好放心，大推
Regina Pang,5,"旅遊諮詢回覆迅速且專業，價格亦合理；

門市的業務江佩容小姐服務親切有禮，也不會亂推銷行程，讓客人不會有壓力

值得推薦的可樂旅遊門市！"
Huang hsun-ting,5,大力讚賞蔡小姐的服務，服務熱心處處細心為客人著想，很幸運有蔡小姐的服務，下次還是要找她規劃行程，金架讚啦
耿筱曾,5,11/18飛美國舊金山，12/1回台灣，長榮華航機票都有特惠
邱煒晴,5,蔡小姐超棒的！按照客人需求規劃，也不會讓人感覺有壓力，服務親切又細心，值得推薦！
陳健民,5,雖然不大，但服務親切而且迅速。
水野道子,5,感謝貴公司江小姐專業&熱情推薦龜山島之旅，讓家人有難忘旅程
時將,5,"業務江佩容小姐對客戶服務好、細心
快來找她訂行程👍"
曹書婷,5,江小姐服務熱心親切，會依客戶需求介紹相關行程
陳彩藍,5,門市人員服務很親切又專業，下次還會再來喔
LI AI,4,服務親切，做事仔细，經驗豐富。
Kate,5,江小姐服務好，親切熱心
郭秉芝,5,門市接待人員很親切，待辦事項迅速。
ting,1,"第一次參加可樂旅遊的東京團體行，五天四夜早去午回，團費快四萬，其實不便宜！結果住的飯店有一間有霉味，一定要開著窗戶味道才比較淡，其他飯店也是舊舊的，整個行程只有含3個餐，其它都是自理餐，更誇張的是有一天導遊說今天時間不夠，所以台場只停留30分鐘～台場欸⋯30分鐘是要逛三小？🤬
如果時間不夠不會刪掉免稅行程嗎？根本沒什麼人想去免稅行程⋯
總之整體感覺很不好，不會再選擇可樂旅遊了！"
Elsa Lee,2,剛申請的護照外面上面被寫了一個N 不能寫在紙上一定要寫在護照上嗎⋯⋯？
Emma Wu,1,要去刷卡付款時 家人說要分期付款 幫忙承辦的先生很有禮貌  可是不知為何一旁的另一位女員工 要一直在一旁碎碎念 說全額或分期有差嗎 還不是一樣都要付 而且也不是看著我們說 邊用手邊的事 邊碎念 而且碎唸了不只一句 我不知道她是怎麼了 我們行程都確定了只是去刷卡 也沒問其他問題 更不是給她服務的 就只說要分期然後等待刷卡動作的時間 為何要被這麼不屑的碎念啊？
倪瑤軒,5,江小姐服務很棒/謝謝您/要出國—定要找她喔^ω^
James Hsia (Ezworker),5,只是來諮詢泰國簽證，沒買產品，服務人員很熱心解答。
予舍,5,莊凱智先生說明旅程仔細且服務親切 已是再回購可樂旅遊行程
陳婷婷,1,小姐服務態度超差的，辦個台胞證像求她一樣，超不爽的。🤬🤬🤬🤬🤬🤬
ChingHua Wu,1,"參加可樂克羅艾西亞之旅，門市詢問和行程表鄭R概稱入住十六湖內飯店。是以報名。
未料抵達卻稱未訂到湖區內飯店而改住十六湖拉車數十分私人飯店。
徒增次日參觀美麗十六湖拉車，入園已9~10點奔趕萬分，期待的美景全走馬看花，半跑半追匆忙拍照跑完16:20就催趕搭船出十六湖
真是失望扼腕生氣甚。
也超遺憾失望反應鄭業務員竟延拖12日無回應詢之稱""公司大處理要很久!""，又強稱住十六湖內飯店和十六湖外面也算是十六湖""區""...
又稱他只是一介小業務員能力有限， …"
TSAI YILUN,5,去門市詢問行程，服務的人員林姿妤小姐很詳細的解說，也不厭其煩地回答我們的問題，讓我們很期待接下來的旅遊～
呂小魚,5,沒有遇過這麼好的服務！真的超級棒！服務我的是一位江小姐，態度親切，專業！大推！
kung sun,5,業代服務親切，講解詳細，令人印象良好。
Frank Hsu,5,代辦護照方便，價格合理有效率，服務態度佳😀
Chin Mei Chen,5,門市人員林姿妤解說的都很清楚，即使一點小問題也解釋得很清楚，讓人很放心！
Joyce Chio,5,業務人員莊先生服務親切耐心介紹行程。下次一定會找可樂報名！good
李欣怡,5,非常感謝 信義安和門市業務鄭名孝 的幽默又風趣的專業介紹 讓我們公司的員工旅遊非常滿意 開心
S. L. Tsao,1,"參加“紐約購物趣” 行說明會, 總公司現場客服人員竟然皆不知道有說明會議. 當天導遊更是很不專業, 一直在講 “紐約就這樣... 就這樣” 既無專業也無心.
當次紐約行的導遊一直自己走自己的, 隊伍拉幾個街口長, 團友走丟了, 打電話給導遊也一直未開漫遊, 事後也謊稱有開機並無來電、回台灣又謊稱當時在對團友解說行程所以沒有接電話, 自打嘴吧.  可樂旅遊事後也不追究, 一切皆傲慢, 或許是該分點 ""信義安和"" 可樂旅遊的部門主管問題, 但是真的態度傲慢！千萬不要選這分行！ …"
陳草莓,5,服務超級好👍👍記得找佩容❤️
