author_name,rating,text
Anna Chang,5,書的數量不多，也沒有仔細分類，但是價格便宜，非常適合挖寶！
蔡東尼,3,舊書種類很多，可惜分類不好。
Michelle Wu,5,優質老書店，書的種類非常多元，有一般小說、商業用書、文學、大學用書，甚至英日文小說都有。價格也不貴，仔細逛都可以挑的書況、內容不錯的書！值得一逛。
黃泰迪,5,台北很多地方已經找不到舊書店，感謝在高價地段開店讓我們尋寶
alex chang,5,有空可以來尋寶
Akira Chao,5,氣氛寧靜，書香味濃，舊書豐富，適合消磨下午時光。
India Genack,5,"(由 Google 提供翻譯) 二手書情況良好。種類繁多，英語選擇也很紮實！

(原始評論)
secondhand books in lovely condition. great variety, and a solid English selection, too!"
N Tom,4,"(由 Google 提供翻譯) 儘管這是一家普通的二手書店，但也有日語的二手書。如果您想閱讀日本平裝書，那可能會很好。

(原始評論)
ごく普通の古書店だが、日本語の古本もある。日本語の文庫本などが読みたくなったときには良いかも。"
Bona Intan,4,"(由 Google 提供翻譯) 英文書籍收藏並不像我預期的那麼多。沒去過任何其他二手書店，所以我無法分辨價格，但我猜它很便宜。

(原始評論)
The English books collection was not as much as I expected. Haven’t been to any other second hand bookstore so I couldn’t tell about the price but I guess it was pretty cheap."
Gavin Whyte,5,"(由 Google 提供翻譯) 一家超級商店，精選超級英語書籍。只是，超級！

(原始評論)
A super shop, with a super selection of super English books. Just, super!"
Yu-Jui Lee,5,
Pohao Liu,2,
楊鎮宇,5,
月稀,4,
Peter Wang,5,
I Hsuan HUANG,5,
海豚飛,5,
Fred Lin,4,
KEVIN CHUNG,5,
周明杰,4,
Po-Yao Hu,2,
Pin-Tsun Huang,5,
Chieh Chien,4,
