author_name,rating,text
Harry Hwang,3,"2021/5/1 初訪

結論：
1.人員服務態度好到讓我覺得該表揚
2.以前蛋糕比較好吃，這次蛋糕小又...

以前曾透過實體通路買過一之軒的濃巧克力蛋糕，糕體鬆軟好吃，巧克力也很醇

不知為何現在已經不做了，網路店提供另一款巧克力蛋糕，還特價，當然要吃吃看囉

盒子一打開，我第一個想法是 ""好小、好薄的蛋糕喔""！蛋糕高度大約2公分。吃起來，不知是否是要強調巧克力的濃度，整個吃起來黏黏硬硬的。有些失望。真的要考慮一下是否還要繼續買一之軒的蛋糕了 …"
玉梅,4,"雖然花樣不多。吐司麵包好吃。價格普通。常常有特惠
環境乾淨俐落"
mu mu,5,"花生麻糬很好吃耶！麻糬皮嫩嫩的微Q，花生內餡甜而不膩，口感香酥很驚豔，外表雖是一般麻糬樣，吃起來的口感和味道卻意外美味呢。

其他各式各樣的麵包蛋糕也都很好吃，麵包口感Q彈不乾鬆，滋味佳，蛋糕質地細嫩，口味香甜不膩，喜歡。"
凌玉琳,4,手工麻糬好吃，門市小姐服務很親切
友蘭魏,5,"產品多樣美味, 工作人員服務親切！"
John Liang,5,衛生乾淨，麵包放在櫃子裡供夾取，避免口沫及灰塵，很不錯。
Thomas Yeh,4,"This is a bakery chain with 24 stores so far, mostly in Taipei City, some in New Taipei City, and one in Taiwan Taoyuan International Airport (at Terminal B1). whenever I see one store, I'd like drop in to have a look, enjoying the good …"
Weihsin Wang,4,服務還不錯，提供紙袋裝，算少見
林益如,5,店員都很親切服務態度也很好，有一位戴眼鏡的林姓男員工服務真的超級好真的超nice!會讓人想買麵包的時候都去這間店買，麵包種類很豐富能吃到很多不一樣口味，而且都很好吃！但我個人超級愛蒜味長方形麵包跟蒜味法吐真的超級好吃真心推薦(⁎⁍̴̛ᴗ⁍̴̛⁎)
anna hsiao,2,花生方塊有大蒜味
張牙,5,香蔥麵包跟丹麥菠蘿超好吃 大推 最近去還有好多新款麵包，看起來都很好吃，服務人員也都很親切！
mirror fuyutsuki,1,"促銷的點心只想吃一個試試看味道，店員擅自又抓幾個要湊足額。我說不需要店員還一直問真的不要嗎？
前後的客人都是會員，只有我不是會員。其他客人結帳時店員都會提醒麵包保存期限和是否要冷藏，就只有對我完全沒有提醒。"
kylie chiang,5,"麵包很香很好吃，首推羅宋！！
店員也很親切有禮貌，會再來消費"
范光光,1,上次我買麵包的時候，問店員發票可不可以存載具，他沒說話，等到發票印出來了才說只能刷條碼，真的很誇張
孫祥翔,5,"服務態度很好 商品很充足 包裝完善 在疫情期間這樣子有事先包裝的麵包讓我吃起來很安心
店長很帥很幼齒 養眼XD"
Yu-Lin Lin,4,滿好吃的啊，而且產品都有標示成份，滿不錯的。店員親切。
潘名淇,5,黑森林蛋糕超好吃 預定新鮮好吃
童元聖,5,小姐的服務很好，看到我帶寵物會幫忙照顧
郭一志,5,服務真的不錯！東西也好吃😋
曾筠宜,5,男店長人超好❤️
許佳佳,5,"店員推薦的丹麥菠蘿麵包超級好吃
服務親切"
小曦,5,麵包美味的秘訣是來自幸福的推薦！
林家狄,5,優質服務 好吃的麵包 推薦！！
蕭百嫻,5,服務好 東西好吃
b chen,5,"(由 Google 提供翻譯) 完美

(原始評論)
完美"
貢丸,1,
黃宗旻,5,
Dai Min,1,
Yen Brother (YenBrother),5,
Miranda Hsia,5,
櫻鈴,5,
童瀚萱,5,
莫積齡,4,
賴景承,5,
banana lin,5,
y OoO,5,
