author_name,rating,text
y.r lin,5,"雖然做錯餐點 😂😂😂
但服務態度真的超好 👍
還提醒客人可以用買一送一優惠 ❤️🥰"
葉大功,4,外面視野遼闊，店裡很寬敞，很休閑！
Mi Hsuan Chen,2,餐點跟服務部分同一般星巴克，無特別好壞，主要是座位少，插座也少，wi-fi時好時壞，已經坐在窗邊，但自己手機的網路也無訊號(中華電信)，個人認為極度不適合帶筆電去工作(尤其是需要遠端溝通的)，供大家參考。
柔柔咖,3,路過剛好沒人排隊，進來買個飲料。
Wen Yao,1,麼豆都沒顧，豆子都撒出來一堆，說不好意思陪了一點店麼好的咖啡粉，結果回去沖同事都說有臭味，星巴克服務及產品品質怎麼會這樣糟？！
dinghantsai21,2,今天才知道原來我的名字叫做牛肉起司可頌
周傳威,4,興和門市近捷運科技大楼站，地点好，人潮多。一進入門市大門，聞到陣陣咖啡香...，陳列西点麵包点心，都秀色可餐，價位高檔，實在好吃。服務好，真是咖啡中極品。若您介绍男女朋友首選约会最佳地点。甚至遇到「買一送一」活动。真如中獎喜悦！
董誼家,4,"附近相較之下，品質和服務更好且穩定的星巴克。雖然店內空間少了些，內裝舊點，但是每次去與旁鄰的幾家SB比起來好得多！

感謝！ 讓人有好心情的拉花！"
Chen Ada,2,"之前在別家分店都會叫「飲料名＋姓（先生/小姐）」，這次我以為會叫。

所以點了一杯飲料外帶，然後在座位上等，等很久都沒有好 覺得奇怪，後來自己跑到櫃檯問，才知道我點的飲料早就做好放著，就是不叫我…"
catlinging,4,"鄰近捷運科技大樓~

店不大。小小的。位置約25個。
不過店內空氣流通舒適。
店員也和善。

店內商品櫃的商品很多元。"
季節雨,5,8/26 15:00 點了一杯冰拿鐵，想好好充電~結果打翻~店員(A)幫忙整理乾淨，...後來又送上一杯新的拿鐵。非常意外的服務，十分抱歉造成打掃麻煩並感謝貼心服務! 謝謝這樣美好的對待客人! HAVE A NICE DAY!
黃琹,5,不用我問店員就知道我在找吸管🤣👍👍
HsinFang Lee,5,近科技大樓捷運站，方便碰面
Tai Yi Tseng,5,"店員都還蠻親切的~
軟法麵包&藍莓貝果🥯👍"
Nina A,2,店員親切！但去好幾次廁所洗手都沒水，水龍頭只有滴水，不知是否沒維修？！疫情期間這樣衛生實在很不好！
TPC,3,座位太少空間擁擠
陳雪莉,4,小而美的門市，魔幻美人魚星冰樂味道普普
Rex Liu,4,新口味有時候不要隨便嘗試
Joshua Lung,5,對比炎熱的室外，這裡面可舒適多了。與好友各享受一杯咖啡說古論今，不知不覺就幾小時過去了，然後互相祝福保重。
Yuki Liang,3,喝了快一半才發現有頭髮，覺得失望。但事後客服有回應，以後若有機會再路過，應該還是會試試看
Ginna Lin,4,位於科技大樓捷運站旁，服務親切出餐速度快，在此享用早餐不擔心上班遲到，可惜空間小略感擁擠。
周建東,4,店員親切
Shihn Chen,5,在科技大樓站附近，店面雖小，人還是很多，服務人員很好，今天App有問題，會跟客戶慢慢解釋，並留資料可以登錄星巴克星星
lin默華,4,靜靜協調或看書的好地點
Albert Liao,4,所有咖啡店 尤其以星巴克 都是讓人 很好休憩的地方  累了  這邊坐著休息  再出發
靜宜周,4,空間略狹窄，所以人多時會顯得吵雜。店員服務態度很熱誠！
michael168 kao,5,信義復興路口捷運大安站公車站非常方便！服務很好餐點好吃，飲料咖啡也好喝！
駱小姐,5,地理位置良好，臨近葛瑪蘭客運站及科技大樓㨗運站對往返宜蘭的旅客提供了舒適、明亮的喝咖啡的環境！
nina chiu,4,服務很好也很貼心
Yu Sophia,4,"服務佳，店員的字體相當可愛且俏皮，
科技大樓捷運站出口旁，位置較少。"
chia yi Huang,5,一起自備環保杯吧
Tom Huang,1,買了特大杯的咖啡坐在店內休息看書，結果在2019/11/21大約在19:00的時候，坐在窗邊兩個男女一直製造噪音，很多客人都在看他們，店員也沒打算趕他們，真的很討厭，浪費我的錢來這喝咖啡。
Yukan Yurow Chen,4,小巧溫馨的門市
Travel eat (steven),4,櫃檯服務小姐非常有溫度詳細解說跟推薦，為品牌加分，不錯……
王均捷（RainBoltz）,1,"其他地方沒有梅花座
就你們最特別🙄"
范綱祐,1,店員態度有夠差  自己桌椅還擺員工出入口旁 還嫌客人擋在門口
Coca Chen,5,晚飯前的傍晚有位置坐，舒服的渡過咖啡時間
Grace Ws Hung,5,在熱鬧的市區 找個歇腳的地方 順便欣賞熙來攘往的人們 這裡是不錯的選擇 牆角還可打個盹 直到咖啡提神效果發酵
陳冠龍,5,人不多，位子蠻多的可以坐很棒
winnie pai,5,位置不多！店員親切！
Daniel Chen,4,很方便就在科技捷運站旁
Yi Ying Peng,5,座位跟插頭很充足！適合使用筆電的地方
宋麗珠,4,離家近，服務人員親切有禮貌！
Frank Lin,2,營業時間是7點到9.30才對，不要被騙了
Syvia L,5,交通方便 但空間有點小～
Chou Mrs,1,服務超爛，再也不會去
