author_name,rating,text
李書歡,1,服務超級糟糕！約好的移柩時間遲到、家屬詢問問題都不回覆，只有要錢的時候才會出現！？真的不推薦大家把家人的後事交給他們公司處理！
weicheng wu,1,佛化某一位師兄，也太噁心了八，什麼嘴臉阿！打著佛號行威脅他人之實
薛宇彤,5,"有質感又莊嚴的禮儀服務
每位禮儀人員都很用心完成每一個程序
大推佛化👍"
ELTON CHIU,1,超級爛！ 根本不懂服務業的基本道理，也跟本不懂的體諒家屬！ 人還沒死就去跟長輩發名片。 還要人家介紹隔壁床的。 做人最根本的尊重都不懂。 可惜我沒辦法打負分，她們連一顆星都不值！
B何彥緯,1,何故說人無善根?佛教應該大慈大悲，何故如此誹謗他人?
徐士敏,1,請大家不要給此葬儀社做，不要增加任何的受害者
林思怡,1,還找人刷五星，要不要臉！
Arwen Tz,5,佛化的師兄姐們都非常的有耐心且會逐一解釋，收費合理，告別式當天就是個莊嚴的佛事，很讓家屬感到安慰。
吳向陽,1,對待家屬的態度極差，咄咄逼人，只要家屬配合他們
Hwa Jade,5,莊嚴 對亡者敬重 對家屬周到 非一般葬儀社可相比 但是收費公道 三年前公公往生 還好有您們幫忙。
周偉帆四設計一乙,1,爛透了
OpenBook Lin,4,
何翼,1,
Stone Studio,5,
余新詠,4,
林揚展,5,
Chueh Peng Liu,5,
何偉平,3,
C.T HO,1,
張照煥,5,
piranesi3 Sep,5,
YI WEI WU,5,
王八祈床,5,
book lin,5,
林燦貴,5,
林姿妤,4,
陳璟,1,
Jack Ho,4,
book lin,5,
何偉平,5,
