author_name,rating,text
Henry Hsu,3,一般家居用品跟果菜類，還可以在這買，但『生肉類』千萬不要！基本上都是『露天』放隔夜的！(從清晨進貨露天放著一直賣到下午一兩點)。尤其是夏天，生肉竟露天放超過10個小時(還沒講完，一整天下來沒賣完的生肉，重新冰起來隔天一早再拿出來賣)，絕對不可能新鮮了
黎佳明,5,"(309)20200705(10:35)謝謝我有309萬人次瀏覽照片包括謝謝您看，台北市大安區安居街9巷攤販集中區的市場，在安居街9巷上，巷子很長，有丐幫滷味在安居街34巷上，更有真功夫SAN GU MAO LU不用三顧茅芦直接來嚐，
白蘭安居的市場，南投蕉1斤14元舒压舒暢，鹿港古早丸豐原排骨酥大香腸1條60元要不要嚐一嚐，越南米線和春捲葱小弟香葱抓餅行天宮冬粉油飯都在安居街9巷，東港花枝燒深坑黑毛豬值得推薦許媽媽雞肉還有一攤，走過去老闆叫您《吃雞吧》快來看，，，正是 :
白蘭安居的市場，
尋找美食今來看。"
邱紹輝,3,很老舊的市場，市容動線不佳。
幕容煙雨,5,中間的賣肉乾老先生 100元可以買比別人多  多汁好吃
Bûn-ka Png,5,11點之後，店家會開始收攤價跟打折，務必這個時候來！
Ruby Wang,5,想找攤位點跑來逛逛，因為是星期一所以人不多
梁麗琪,4,這市場物美價廉，常來這挖寶，水果便宜又好吃
王崇,4,最近常常來這兒買菜買水果，需比價因價差蠻大的，水果以台北市的價格約六折七折左右。
Alex Tsai,4,"六張犁知名的白蘭市場，也就是所謂的安居街 9 巷攤販集中場，是在 1986 年以後設立，其位置在安居街與和平東路三段 308 巷黎孝公園中間的安居街 9 巷，這東西向的巷弄，中間也以雙十的形狀跨了樂業街 159 巷與 169 巷兩條南北向巷弄。營業時間為早上六七點到下午一兩點之間。

如同其他傳統市場，本市場應有盡有，吃喝玩樂居家用品生活五金等一應俱全，但還是要貨比三家不吃虧才行，畢竟不是每個攤販都童叟無欺，物美價廉。錢是自己的，要花之前還請多審慎評估與琢磨。 …"
吳旻容,5,生鮮蔬果/五金雜貨/居家用品 一應俱全，價格合理，種類豐富，生活機能佳
Wen-hsin Chi,5,新鮮多樣的水果蔬菜，價格以台北來說算便宜，尤其有一攤在賣各式各樣豆製品和醬菜，老闆娘親自做的韓式泡菜，搭配寧波年糕一起炒，一試就成功，完全零失敗，超級無敵好吃的，尤其冬天來煮個泡菜鍋，再加上火鍋料，湯頭很美味。
Yue Yang,3,"和平東路三段308巷與安居街，攤販愈來愈誇張，都擺到車道一半還不滿意，加上逛的人多，可以直接封街得了，這裡是車道不是人行徒步區，一堆大媽把車道當喝咖啡聊事非之地，乾脆站在車道分向線上聊起天來，車來也無所謂，人是管不動，但攤販擺的愈來愈誇張市場管理都不出面管制一下的嗎?
雙向單車道變成單線可同行
菜販們很喜歡把不好看的菜直接丟在地上，用一個垃圾桶裝似乎會要他們的命(當然非此處傳統市場才有這陋習)，收攤時那畫面根本是垃圾場，若沒有專門清掃清潔員，地面與環境比豬社還可怕"
莊嘉正,5,人很多，東西種類也多，是個可逛逛的市場
Joe Kan,5,這個市場，並不是在一間大建築物裡！它就是露天、沿著巷弄的兩邊，攤位相連著一直擴展開來的！市場規模不算大，大概所需的菜攤、肉攤、百貨、生熟食都有，還算齊全！
盧美月,5,這裡是我做生意的好地方，也是我買菜的好市場
황Grace,1,巷道狹窄，非週末已人擠人卻不禁止腳踏車及摩托車進入，整個市場瀰漫著機車的臭油煙味，最糟的是機車的排煙口正對著坐在嬰兒車的嬰兒及學齡前的兒童吹，再加上腳踏車及機車常占了攤位前的位置，根本無法好好購物，只想趕快離開市場，無法理解市場管委會為何不善加管理讓市場變成只有人可進入的徒步區。
Chang Lung Wang,3,小而美的市場.下手青菜的好地方！
Meichun Liu,5,很有人情味的老市場，裡面巷子有家童裝店價廉物美，老闆娘阿姨人很好。
周傳威,3,白簡市場依白蘭公寓而生。具有50年歷史。攤販有固定与不定期，菜色丰富，什麼都有，價位中等，人潮多，相对趴手很多，要很小心。附近社區人都会來買，约早上11点左右，各攤販折價叫賣，是本市場特色。
Piuling Liu,4,有好吃的素食熟食攤商
黃宣穎,5,各類蔬食肉品都有賣，採購物品方便，非常棒。
Tommy Lin,5,交通便利!貨色多!价格實在!
Keswick Selina,4,小而美的傳統市場，有四個素食攤位。
burke Shih,3,市場不大，大部份採買都可應付了
譚徽文,3,方便，應有盡有，109年菜價太貴了！舉例~高麗菜(漂亮的)75元一台斤。不好看的(35元一台斤)…………無公厠。
鄧劉昭瑩,3,如果會找攤位買到非常便宜俗賣的菜，對愛便宜的歐巴桑何樂不為，每天要吃吧!
fep w,4,各項食材齊全，週邊早午餐不虞匱乏。
陳景嵐,4,熟悉居住附近的市場!基本上都還不錯!大家辛苦了
甯元吉,5,方便買菜購物的好地方。
鄭喵喵,5,攤位多又價錢實在
Daniel Chang,3,市中心少數的傳統市場，選擇不多
cncn cncn,4,小小市場，總類倒是不是！蔬果都很新鮮！唯一需改善的是，不是專設的徒步區
摩利支天,5,台北難得儘存的傳統市場，有親切感無冷氣天然爆熱，欣賞家庭煮婦笑容。
linlin Lin,5,"很熱鬧的市場，
市場內外的麵攤&米粉湯攤，都很好吃喔！
市場中間段的油飯也很推薦，香菇很多。

晚上市場口的燒仙草也很棒，不會過甜膩，也很純～結凍的很快！秋冬好適合吃一碗"
Fangyu Catherine,5,傳統的市場，還有親切的小販跟叫賣聲，婆婆媽媽們很愛去的地方。
吳聲全,1,巷內有一間古早味的米粉湯很好吃，一些小菜也很好吃價錢很實在，不錯的美食。
1128 sweethearts,2,採買方便，只是比較不適合我（味道重）
C.H CHANG,4,還不錯，東西多樣，價格公道。每天下午一點就收了，大概下午三點攤販撤完，9巷的街道才能通車。
林翠娟,3,小市場，販售種類多，買氣強
TEACHER TEACHER,3,以前幾乎沒有摩托車穿梭其中，現在不知為何騎摩托車來買菜的人多了起來，有隨時要閃車的不完全感......
徐銘鴻,3,"市場很小 蔬果價格比一般市場貴
尤其是肉類更是亂喊價"
PiHui Huang,4,小而美有元氣的市場。除了定期的菜肉攤販，還有臨時設攤賣衣服或生活用品小物的攤販。
S H,4,不大，但應有盡有，買菜好地方！
alligator boy,4,"有些菜販好貴噢比全聯還要貴
然後大部分豬肉販的衛生程度令人不敢恭維
有些店沒什麼人在買通常就是有啥隱藏雷點
最後就是
這裡面除了菜 水果 海鮮 丸子 肉攤以外
也有賣衣服 雜貨 鍋子的攤位
也有製麵攤 可以買到水餃皮和麵條
一斤餃子皮35元
那另外還有賣芋粿巧的
個人認為芋粿巧是一種敷衍的食物
你們要買的話當然是你們的自由
但是令人不禁納悶
為什麼喜歡吃芋粿巧這樣的食物呢！？
對了一小株蔥要39元我是不是被坑錢啦？
我主要就是想要包水餃才來的
材料確實可以在這裡買齊全
韭菜花為什麼很臭啊
一路上提著一袋充滿廚餘味道的東西"
美元美元一夜之間全數耗盡,5,價格合理 但衛生..
Yang Ning,5,小而巧的傳統市場~
Artist 王娟娟 Gloria Wang,5,很熱鬧的地方 蔬菜水果 食物新鮮 價格實在
Miriam Weng,5,傳統菜市場👍
徐演滿,3,就是一般的小市場
chingmeei hu,4,價位很親民
林淑慧,3,市場差不多1點收攤，我剛好到，因快收攤反而可以撿便宜噢！
余主恩,3,價錢公道，有人情味，可以殺價
游鳳茹,5,熱鬧的傳統市場，青菜水果魚，肉類一應俱全，選擇性也很好😁！
judy lin,5,商品樣式多，新鮮度佳，可以試吃，物美價廉，但是偶而會有流動攤販，產品不良，有被詐騙的感覺
zn zu,5,星期一跟星期五有家買炸物的雞腿，我個人人喜歡。
lee michael-yuh,5,貨品眾多
H Rybby,5,雖然不大但應有盡有非常的熱鬧，特別是假日完全不受到肺炎的影響， 值得一提的是全年無休呢
江小姐,3,星期假日人群很多，建議戴口罩
王炳川,1,每天攤位都一樣。
北極熊,4,市場本身不錯，什麼都有，可惜里長沒有在管理，應該要有可拆卸/活動車檔，白天只准步行進入市集
Mason Lin,4,典型的傳統市場，價格便宜，東西多又新鮮。
周湘庭,3,市場撿便宜，每每想找尋什麼東西時，就可以來的地方
楊梅慧,4,菜價親民，是我的首選。但是，也有敲竹槓的店家。要多尋問比價一下。
毒藥,4,東西蔬果買久了之後，老闆會沙必司哦！
李振中,4,想不透的是 人為甚麼要騎車逛菜市場，造成大家的不便！
Wang Jh,4,應有盡有
謝雪妮,3,菜價，肉魚價格公道，有固定的攤商東西也很有保障，有開伙或愛逛街的都很方便!
蔡英梅,3,商品齊全，只是應硬性規定不準任何交通工具進入，場面常常很混亂
豐任,5,白蘭市場，起源早期白蘭洗衣粉清潔劑的倉庫在這裡，傳統市場就叫白蘭市場，除了早市靠近安居街路口周邊晚上還有賣熟食
耿筱曾,4,在台北市，白蘭市場價格相對公道，水果品質不錯，但是，避免在此買海鮮或魚蝦貝殼類
葉日煇,1,交通雜亂，髒亂，且該巷為消防用巷，為何能成為市場，建議拆除。
李永漢,4,白天晚上都熱鬧
梁Sandia勻瑄,3,好逛、好買。
Hank Wang,5,好買，尤其星期一的攤位，部分很有特色
german lo,4,早市多樣化，收攤各家攤販就會洗刷整理，是好鄰居！
John Liang,5,麻雀雖小 五臟俱全。有攤賣黑豬肉水餃的很讚！
Lin Jinlan,3,六張犁到麟光站中的傳統市場，早上人潮很多
