author_name,rating,text
Nin nin,5,空間小，簡體書籍種類繁多，想找的書幾乎都找得到（現貨or訂購）
OAK NAF,5,簡體書店，對哲學理論一類有需求時會來，小而精實
lung Tseng,5,有空運選擇讓書更快到，讚。
shanlu yu,5,來這裡找書、買書已經超過二十年了。店內書種都是經過挑選的，所以質量很高，尤其人文、社科類書，幾乎每本都值得細細品味。每次來，總是會和廖老闆聊一下，話題無非是繞著兩岸出版、時局、台灣社會等，挺有意思的。算是溫、羅、町文教區，店齡較久的簡體字書專賣店，附近有好幾家都紛紛收了。
Thomas Yeh,4,我是因為參觀過誠品書店台大店之後，往真理堂的方向走去，往左邊的巷子一瞄，看到有這家書店，咋看招牌，有大陸圖書（我看成大陸書店），旁邊有結構群三個字，感覺是不解，進去一問，才知道他們只販售大陸圖書，就是簡體字的書籍，我說誠品還有聯經也有販售，女孩說他們販售的數量其實不多，我參觀過聯經，確實不多。他們這家結構群的店面不大，但堆得滿滿的，我看是有一點一枝獨秀的味道。 …
Erin Lin,5,親切又熱心的老闆娘是結構群的標誌！各式書籍絕對會盡全力幫忙找尋，是用心經營的大陸書店
Wang Rain,5,大陸司法及大陸專利書籍很多，店員說明介紹也很棒！推薦！
ShengPin from Taiwan Chen,5,版娘像潘朵拉盒子，想要什麼資料，等你還沒反應過來，一堆參考書籍已被拿到你面前。
Hong Unikulo,4,簡體字書店中提供各種大陸書籍到滿意為止。簡體字書以外也提供。老闆服務很好。
Rock Wen,2,現場的書太少了，要去之前最好先打電話問一下有沒有你要的書，不然就用訂的，否則可能白跑一趟
raider ho,5,未必適合現場淘書，但是極為適合訂書。訂書和其他家一樣通常是*6，但是這裡訂書速度最快，老闆娘的管道最齊。在這裡訂不到的書，在別處也九成九訂不到。我在這裡訂到好幾本絕版書，偉哉老闆娘！
Lin Pierre,4,挖掘知識保庫的好地方。
Galen Hsieh,4,"這裡有很多左岸出的書, 對要考IELTS或ETS系列的學生來說是個好去處, 對岸出的工具書是比台灣便宜很多, 大推!"
王光民,5,購買大陸書籍的好地方
許惠如,4,書店規模很小，環境不太好，但代理人考試服務很好，老闆娘很親切
唐豪駿,5,不只有書可以買，需要的書還可以直接跟老闆訂喔！
楊凱閔,4,買簡體的英文考試書好去處
李佳恩,5,老闆娘人很熱心，書便宜又多選擇～
喔郎喔,5,代辦大陸司法考試，簡體書單豐富。
吳彥儒,1,價格較貴，擺設沒有分類的簡體書店
黃靖智,5,心靈的饗宴。
8LGMOTTO Craig,5,老書店 大家要支持一下
Kai Kai,5,老闆娘很熱心
horlor Chien,5,服務熱心
Johnny,5,老闆娘超級好😆😆😆
陳品兒,5,裝備齊全！
螞殺糧,5,"(由 Google 提供翻譯) 很好

(原始評論)
很好"
林孟萱,5,"(由 Google 提供翻譯) 台灣讀者真棒書店!!!!

(原始評論)
Awesome bookstore for Taiwan reader !!!!"
陳若潔,5,
Scott Wang,5,
Lark Huang,4,
鐘國晉,5,
蔡長諺,5,
陳群文,5,
楚霸王,5,
歐俊男,5,
P N,3,
Jamie Shih,4,
Vee T,3,
主禱文活出,5,
許慶祥,5,
語荷,5,
PEICHEN LIN,5,
syt1215 syt1215,3,
HT Hsiao,5,
chiayu lin,4,
subbu raj,5,
Pohao Liu,3,
Chun-Lun Chang,5,
高小寶,5,
許院長,5,
翁振誠,4,
林郁翔,4,
Timer Space,5,
