author_name,rating,text
艾維斯天使影像設計Elvis Lee Design,5,"喜歡他們精緻用心的餐點
尤其是甜點
疫情不能出國
能吃好吃的甜點
是最大的安慰
大推👍👏👏💯💯💯"
汪冠洲,4,路過，外觀漂亮，感覺應該不錯吃吧？下次找時間試試。
Chu Judyrun,4,在三角窗的位置；有三分之二的玻璃窗；視野廣。花藝跟外燴藝術糕點；只有一個四人長方原木桌；及一個三人座的小吧檯；陪襯著花香、鋼琴輕音樂；很能舒壓怡情；與親朋好友下午茶；談天說地亦可…只是最好預約；以免向隅…
Amber,5,"可以請貴店把種植的樹整理好嗎？一半樹葉都擋在人行道上，已經看到有人沒閃好被樹葉打到，超沒公德心....

更新：謝謝店家配合改善！"
Lee KangTze,2,沙嗲雞肉便當130，蔬菜太少，飯偏乾且飯量多，較適合愛吃飯不愛吃菜的
陳玟伶,1,便當餐盒超可怕，說是燉飯，明明就是白飯配美乃滋
Laura Lee,2,"適合聊天。 午茶小點心看起來小巧但不精緻連切邊都是毛躁，義大利麵像吃大滷麵。
一般外燴等級"
Kay Chuang,2,餐點口味略重，但服務人員的應變態度很差
JMH藥師一隻,3,"這家是做外燴的~~所以點心才是他們的強項
餐點不要過度期待喔"
zero,3,"轉型經營好幾次了, 一直沒辦法找到好的經營模式"
Tuz,5,美味的各種糕點
任玉媜,5,"(由 Google 提供翻譯) 很棒~

(原始評論)
很棒~"
林志學,5,
林峰旭,1,
Sabrina Lin,5,
劉語玫,4,
Alvin Hsieh,5,
語荷,5,
呂進雄,3,
食品樺豐,5,
謝桂珠,5,
カルデア,4,
林衍良,5,
曾秉鋐,5,
潘小惠,5,
